scene_component_id,scene_component,location,orientation,position,nearby_objects,distances,environmental_conditions,witnesses,photographs,source,confidence,uncertainty_flags
SCN-0001,Body location,Somerton Beach foreshore near seawall/opposite Somerton Crippled Children's Home.,Near seawall; feet toward sea/west per Moss/coroner.,On back; head/shoulders supported by seawall; head inclined right.,Partly smoked cigarette near right cheek/lapel/collar.,Evening witness estimated within a yard of steps; closest viewing 15-20 yards.,Warm morning; previous evening public summer beach context.,WIT-0001; WIT-0002; WIT-0006; WIT-0009.,Body photos C.5-C.8 referenced but not locally preserved as image set.,"DOC-0001 pp.5,15,17,19,51.",High,Exact coordinates and scene diagram absent; evening body identity not proven.
SCN-0002,Body orientation,Beach against seawall.,Feet towards sea/west; head/right shoulder against wall.,Right arm doubled over palm upward/fingers bent; left arm alongside body per Moss.,Cigarette near cheek/collar; clothing and pocket items on body.,Not measured.,Open public location; steps used often on summer evenings.,WIT-0002.,Body photos referenced.,DOC-0001 p.19.,High,No original scene sketch acquired.
SCN-0003,Evening 7 p.m. observation,"Same place where body later found, per coroner/witness.",Man lying near steps/seawall.,Witness saw right arm extend upward and fall.,No cigarette seen in hand by witness.,Witness distance 15-20 yards per page 15.,Fairly light; summer evening.,WIT-0001.,None acquired.,"DOC-0001 pp.5,15,17.",High for reported observation,Witness did not see face; not proof observed man was deceased.
SCN-0004,Evening 7:20-7:30 observation,Somerton Beach near body location.,Limited view of legs/body from steps/beach.,Neill saw legs; position did not alter while she watched.,None observed.,Not precisely recorded.,Not many people nearby; public place.,WIT-0006; WIT-0009.,None acquired.,"DOC-0001 pp.31-33,51.",Moderate,Identity not proved; visibility and attention limited.
SCN-0005,Morning body discovery,Same location near seawall.,Body visible from right at distance; open not secluded.,"Cold, damp and stiff; no visible violence.",Partly smoked cigarette; no hat; no suspicious nearby object.,No measured distance; witness/body near steps.,Hot morning; no undue sand disturbance per Moss.,WIT-0001; WIT-0002.,"Body photos later at morgue, not scene photos.","DOC-0001 pp.17,19,21.",High,Exact first-discovery sequence and witness name still need visual check.
SCN-0006,Sand/disturbance,Around body at Somerton Beach.,Around body/near head/feet.,Moss found no undue disturbance; later witnesses note sand constraints.,Sand in hair; sand around toe marks; possible beach sand in clothing/suitcase.,Not measured.,"Sand surface likely disturbed by later activity, per Hicks caveat.",WIT-0001; WIT-0002; WIT-0007; WIT-0016; WIT-0017.,No close scene photos acquired.,"DOC-0001 pp.17,19,37,71,81,99.",Moderate,No collected sand sample or scene grid.
SCN-0007,Cigarette placement,Right cheek/lapel/collar area.,Held by cheek/collar; no scorch/blister.,Partly smoked; not smoked as far as ordinary person might smoke per Cleland questioning.,Body clothing.,Not measured.,No scorching despite placement.,WIT-0002; WIT-0001.,No specific photo acquired.,"DOC-0001 pp.5,17,19,21.",Moderate,Collection status unknown; relation to packet unknown.
SCN-0008,Initial body property,Body clothing/pockets.,On/in clothing.,"Rail ticket, bus ticket, cigarettes/matches, combs, gum; Tamam Shud slip not found initially.",Body/clothing ensemble.,Not applicable.,Initial search at beach/hospital/mortuary sequence needs more detail.,WIT-0002; WIT-0011.,No property photos acquired.,"DOC-0001 pp.5,21,57.",High,Exact search sequence and pocket locations incomplete.
SCN-0009,Fob pocket,"Trousers on body, right of fly per Cleland.",Concealed/difficult pocket.,Tamam Shud slip found there; Cleland said pocket easily missed.,Body trousers/clothing.,Not applicable.,Not applicable.,WIT-0016; WIT-0011; WIT-0014.,Slip photo lead only.,"DOC-0001 pp.5,57,71,81.",High,Exact discovery date/time unresolved.
SCN-0010,Suitcase location,Adelaide Railway Station luggage office/cloak room.,On rack among unclaimed luggage.,Case lodged 1948-11-30; unclaimed; seen 1949-01-14; taken 1949-01-19.,Luggage ticket no. 52703; suitcase contents.,Not applicable.,Railway station storage context.,WIT-0010; WIT-0011.,Case photos C.10-C.14 referenced.,"DOC-0001 pp.53,57,75,77.",High,Depositor identity unknown; A. Craig not directly heard.
SCN-0011,Suitcase contents arrangement,Inside suitcase.,Not recorded.,"Clothing, tools, toiletries, thread, stencil items, cash/other items listed by Leane.",Suitcase and luggage ticket.,Not recorded.,Unclaimed luggage storage.,WIT-0011; WIT-0016.,Case photos referenced.,"DOC-0001 pp.57-61,79.",Moderate,OCR distortion; no complete verified layout.
SCN-0012,Clothing association,Body clothing and suitcase clothing.,Comparison across body and suitcase.,"Similar sizes, similar shirts/underpants, warm sepia/orange thread, missing tags.","Clothing, thread, labels.",Garment lengths/fits not precisely measured in acquired text.,Not applicable.,WIT-0011; WIT-0014; WIT-0016.,No garment photos acquired.,"DOC-0001 pp.7,59,61,71,79,81.",High for association observations,Ownership and timing of tag removal unresolved.
SCN-0013,Photographic evidence creation,City Morgue / inquest.,Full-face and side-face body photos; suitcase photos.,Photographs produced/marked but not fully acquired.,"Body, suitcase, Tamam Shud paper photo.",Not recorded.,Post-discovery documentation.,WIT-0012; WIT-0011.,C.5-C.8 and C.10-C.14 referenced.,"DOC-0001 pp.63,75.",Moderate,Original image set/custody missing.
SCN-0014,Biological sample path,Postmortem to analyst.,Specimens in jars/bottles.,"Stomach contents, liver/muscle, urine, blood received by Cowan.",Body/postmortem.,Volumes not recorded.,Medical evidence context.,WIT-0007; WIT-0008.,No photos acquired.,"DOC-0001 pp.39,47.",High for 1948 transfer,Retention/disposal unknown.
