matrix_id,assessment_area,status,confidence,supporting_assets,limitations,chapter_use
VIC08-001,1949 identity,Unknown man found at Somerton,High,"research/victimology/victim_profile.md; research/publication/identity_status_guidance.md; DOC-0001 references in registers","Legal/personal identity not established in acquired 1949 record.","Victim overview; identity assessment"
VIC08-002,Modern identity lead,Carl Charles Webb attribution,Moderate-High as research lead,"research/osint/executive_summary.md; research/osint/newly_identified_evidence.csv; research/publication/identity_status_guidance.md","No acquired final coroner/SAPOL/FSSA report; no peer-reviewed public DNA paper located in Mission 11.","Victim overview; identity assessment"
VIC08-003,Physical description,"Male; tallish; about mid-40s; greying hair; good physical condition; cared-for nails/feet; missing teeth",Moderate,"research/victimology/victim_profile.md; research/forensic_medical/forensic_identifiers_register.csv","Exact measurements, eye colour, and complete body-description sheet not acquired.","Physical characteristics"
VIC08-004,Dental identifiers,"Missing-teeth chart and dental characteristics",High for existence; Moderate for exact notation,"research/forensic_medical/forensic_identifiers_register.csv","Chart requires specialist/manual transcription; no comparative dental records acquired.","Physical characteristics"
VIC08-005,Fingerprint identifiers,"Fingerprinting and circulation process; fingerprint chart reproduction",High for process; Moderate for custody,"research/forensic_medical/forensic_identifiers_register.csv","Original chart, complete comparison logs, and bureau responses not acquired.","Physical characteristics; identity assessment"
VIC08-006,Possessions,"Sixteen possession inventory entries from body, suitcase, identifiers, and specimens",Moderate-High,"research/victimology/possession_inventory.csv; research/physical_evidence/physical_evidence_catalogue.csv","Custody, OCR detail, and ownership vary by item.","Lifestyle indicators"
VIC08-007,Movement reconstruction,"Eleven movement records from ticket issue through postmortem and suitcase recovery",Moderate-High,"research/victimology/movement_reconstruction.csv; research/chronology/chronology_master.csv","Pre-death route incomplete; ticket holder/purchaser not identified; evening identity continuity unresolved.","Movement reconstruction"
VIC08-008,Relationships,"Official case contacts documented; pre-death personal contacts unknown or conditional",Low for personal biography,"research/victimology/relationship_map.csv","No verified family, friend, employer, or associate in acquired primary archive; Thomson/Boxall/Webb leads conditional.","Relationships"
VIC08-009,Lifestyle indicators,"Clothing quality, grooming/cleanliness, possessions, travel leads",Low-Moderate,"research/victimology/behavioural_profile.md; research/victimology/possession_inventory.csv","Observation only; no unsupported social class, occupation, habit, motive, or personality conclusions.","Lifestyle indicators"
VIC08-010,Pre-death biography,"Birth, family, residence, education, employment, finances, military service unknown in acquired primary archive",Unknown,"research/victimology/victim_profile.md; research/victimology/victimology_summary.md","Modern Webb leads remain conditional pending official identity confirmation.","Victimology assessment"
