revision_id,claim_id,original_claim,verification_status,recommended_revision,reason,priority
CRR-0001,PA2025-001,Dr. John Dwyer of Royal Adelaide Hospital was the lead pathologist in the original autopsy.,Partially Verified,Revise to: Dr John Matthew Dwyer gave postmortem/autopsy evidence at the 1949 inquest.,"p.37 names John Matthew Dwyer and his medical evidence; source supports Dwyer as key postmortem witness but not the wording ""lead pathologist"" as such.",High
CRR-0002,PA2025-002,"The original findings included congested liver, spleen, brain, and kidneys.",Verified,Revise only if exact organ list differs after official-copy review.,"Dwyer evidence records extensive congestion including liver, spleen and brain; kidney wording requires page-level confirmation but organs are discussed in the same medical evidence.",Medium
CRR-0003,PA2025-003,The stomach was full of blood and food and was interpreted as consistent with poisoning.,Partially Verified,Revise to separate observed stomach contents from interpretation about poisoning.,"Inquest records a deeply congested stomach and blood mixed with food. Poison was considered, but analyst evidence found no common poison and one expert view favored natural causes over poisoning.",High
CRR-0004,PA2025-004,No visible injuries or trauma were observed.,Partially Verified,Revise to: no decisive traumatic cause was recorded in reviewed inquest evidence.,"Available OCR supports no obvious violent death evidence in reviewed inquest passages, but the exact phrase no visible injuries or trauma was not located as a standalone finding.",High
CRR-0005,PA2025-005,No alcohol was detected.,Unable to Verify,Do not state until toxicology report/autopsy pages are reviewed directly.,No primary-source passage confirming alcohol testing was located in acquired material.,Medium
CRR-0006,PA2025-006,"The 1948-1949 chemical screens checked blood, urine, and tissue for barbiturates, opiates, cyanide, carbon monoxide, and other toxins.",Partially Verified,Revise to: Cowan tested submitted specimens for common poisons; list analytes only when explicitly sourced.,"Cowan evidence states specimens of stomach contents, liver, muscle, blood and urine were examined and common poisons tested; specific list in claim is broader than located evidence.",High
CRR-0007,PA2025-007,The listed toxicology screens were negative.,Partially Verified,Revise to: tests for common poisons were negative.,Cowan evidence says he was unable to find signs of any common poison; claim is too broad if applied to all listed toxins.,High
CRR-0008,PA2025-008,Digitalis was suspected as a possible poison and would have been nearly undetectable with 1940s methods.,Unsupported,"Move to later forensic-literature review, not primary-source claim.",Acquired primary sources reviewed do not support digitalis as specifically suspected or undetectable.,High
CRR-0009,PA2025-009,"Strophanthin was a possible poison, difficult to detect, and rare in Australia.",Unsupported,Requires toxicology literature/source outside current primary archive.,No acquired primary source supports strophanthin rarity/detectability claim.,High
CRR-0010,PA2025-010,"Aconitine, scopolamine, rare alkaloids, or exotic agents were possible causes.",Unsupported,Keep only as hypothesis lead if supported later.,No acquired primary source supports this list of possible exotic agents.,High
CRR-0011,PA2025-011,"No container, residue, or administration method was found.",Partially Verified,Revise to: reviewed inquest passages do not identify a poison container or administration method.,Reviewed inquest inventory lists carried items but does not show a poison container/residue/administration method; absence is not a complete proof across all property records.,High
CRR-0012,PA2025-012,The official cause of death was left unknown.,Verified,Revise to: precise medical cause remained undetermined in available coronial material.,Coroner evidence records inability to identify a specific cause while finding death not natural/probably poison; death certificate copy concerns unknown man.,Medium
CRR-0013,PA2025-013,"Jessica Thomson, also known as Jestyn, lived near Somerton Beach.",Unable to Verify,Acquire electoral rolls/directories/police interview notes.,Jetty Road extract does not by itself verify Jessica Thomson residence in relation to Somerton Beach.,Medium
CRR-0014,PA2025-014,A phone number found in a Rubaiyat copy was linked to Jessica Thomson.,Partially Verified,Do not state as verified until police-file pages are manually transcribed.,Primary-source reproductions likely relate to Rubaiyat/phone lead but require visual page review; no OCR-supported passage was extracted.,High
