uncertainty_id,event_id,issue,affected_date,affected_time,affected_location,related_claims,current_status,recommended_resolution
CU-0001,CHR-0002,Purchaser not remembered; exact purchase time unknown,1948-11-30,06:15-14:00,Adelaide Railway Station ticket box,PA2025-019,Verified,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0002,CHR-0003,Exact issue time unknown; purchaser not identified by witness,1948-11-30,Unknown within 06:15-14:00,Adelaide Railway Station ticket box,PA2025-019,Verified,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0003,CHR-0004,Holder not identified; exact boarding/alighting point uncertain,1948-11-30,11:15 a.m.,Adelaide-Somerton bus route from Railway Station toward St Leonards,PA2025-063; PA2025-066,Verified,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0004,CHR-0005,Negative evidence; depends on witness canvass completeness,1948-11-30,Between bus arrival and 7:00 p.m.,Somerton Beach area,PA2025-063,Partially Verified,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0005,CHR-0006,Identity of man not proven; witness observation,1948-11-30,7:00 p.m.,"Somerton Beach, where body was later found",PA2025-063; PA2025-042,Verified,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0006,CHR-0007,Identity of man not proven; impression-based observation,1948-11-30,About 7:30 p.m.,"Somerton Beach, where body was later found",PA2025-063; PA2025-042,Verified,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0007,CHR-0008,Estimated time; place of death unknown,1948-12-01,About 2:00 a.m.,Unknown,PA2025-064,Partially Verified,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0008,CHR-0009,Exact first-discovery witness details require page-level witness statement index,1948-12-01,About 7:00 a.m.,Somerton Beach,PA2025-064,Verified,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0009,CHR-0010,Location needs page-level confirmation,1948-12-01,9:40 a.m.,Somerton Beach / body location,PA2025-064,Partially Verified,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0010,CHR-0011,Exact search time unknown; slip found later,1948-12-01,Unknown,Body/clothing search; later City Mortuary,PA2025-011; PA2025-019; PA2025-043,Partially Verified,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0011,CHR-0012,Exact transfer time unknown,1948-12-01,Unknown,City Mortuary,PA2025-064,Verified,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0012,CHR-0013,Exact laboratory custody details incomplete,1948-12-02,Unknown,Postmortem / analytical chain; exact location not established,PA2025-006; PA2025-007,Verified,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0013,CHR-0014,Exact test panel limited by deposition wording,1948-12-02,Unknown,Analytical laboratory; exact location not established,PA2025-006; PA2025-007; PA2025-012,Partially Verified,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0014,CHR-0015,Exact discovery date/time unknown; finder identity requires page-level indexing,December 1948 or later,Unknown,Clothing/body examination; exact location not established,PA2025-043; PA2025-065,Verified,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0015,CHR-0016,Exact book recovery date/provenance unresolved,December 1948 or later,Unknown,Investigation records; exact location not established,PA2025-044; PA2025-065,Partially Verified,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0016,CHR-0017,Exact date unknown; chain of custody incomplete,A little over a month after 1948-12-01,Unknown,Adelaide Railway Station luggage office,PA2025-066,Partially Verified,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0017,CHR-0018,Property inventory incomplete; exact evidentiary basis needs page-level exhibit index,A little over a month after 1948-12-01,Unknown,Adelaide Railway Station luggage office / property examination,PA2025-038,Partially Verified,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0018,CHR-0019,Exact sitting schedule/page sequence requires official file comparison,1949-06-17,Unknown,"Coroner proceedings, Adelaide",PA2025-001; PA2025-002; PA2025-003; PA2025-006; PA2025-007; PA2025-012; PA2025-063; PA2025-064; PA2025-065,Verified,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0019,CHR-0020,Exact final legal wording should be checked against official custodian copy,1949-06-17 to 1949-06-21,Unknown,"Coroner proceedings, Adelaide",PA2025-012,Verified,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0020,CHR-0021,Content not reviewed; access restricted at original custodian,1958-03-14,Unknown,Coronial record / State Records SA reference,PA2025-012; PA2025-065,Partially Verified,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0021,CHR-0022,OCR partial; visual review recommended,2014-05-14,Unknown,"Births, Deaths and Marriages Registration Office, Adelaide",PA2025-012; PA2025-064,Partially Verified,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0022,CHR-0024,Digitization path and official custody chain incomplete,2009-04-15,Unknown,State Coroner / archive return process,N/A,Partially Verified,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0023,CHR-0025,Official source not preserved/reviewed; details pending,2021-05-19,Morning pending,West Terrace Cemetery,PA2025-023,Unable to Verify,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0024,CHR-0026,No official DNA/forensic report acquired; official status unresolved,2022-07-26 to 2022-07-27,Unknown,Public/research announcement and SAPOL response context,PA2025-024; PA2025-025; PA2025-030,Unable to Verify,"Acquire official custodian copy, inspect non-OCR reproductions, or locate missing primary record as applicable."
CU-0025,REMOVED,No verified or partially verified pre-1948 case event was established from the Mission 4 evidence matrix.,Pre-1948,Unknown,Unknown,N/A,Unable to Verify,Acquire primary source or keep out of master chronology.
CU-0026,REMOVED,Melbourne-Adelaide train-ticket claim removed from master chronology; inquest supports Henley Beach rail ticket and bus ticket instead.,Unknown,Unknown,Unknown,PA2025-018,Unsupported,Acquire primary source or keep out of master chronology.
CU-0027,REMOVED,Woomera/Maralinga defence-site chronology not admitted as case chronology without direct source.,Unknown,Unknown,Unknown,PA2025-055,Unable to Verify,Acquire primary source or keep out of master chronology.
CU-0028,REMOVED,Tibor Kaldor biographical/timeline claim not admitted; no primary record acquired.,Unknown,Unknown,Unknown,PA2025-070,Unable to Verify,Acquire primary source or keep out of master chronology.
CU-0029,REMOVED,Kaldor network/cleanup scenario not admitted; speculative and unsupported.,Unknown,Unknown,Unknown,PA2025-071,Unsupported,Acquire primary source or keep out of master chronology.
CU-0030,REMOVED,Death-mask/exhumed-remains DNA sampling timeline not admitted as verified; official source not acquired.,Unknown,Unknown,Unknown,PA2025-023,Unsupported,Acquire primary source or keep out of master chronology.
CU-0031,REMOVED,Carl/Charles Webb identification timeline not admitted as verified; DNA methodology/report not acquired.,Unknown,Unknown,Unknown,PA2025-024,Unsupported,Acquire primary source or keep out of master chronology.
CU-0032,REMOVED,1986 brown-suitcase-destruction claim removed from master chronology; no acquired primary record supports it.,1986,Unknown,Unknown,N/A,Unable to Verify,Acquire primary source or keep out of master chronology.
