witness_id,full_name,role,opportunity_to_observe,temporal_proximity,internal_consistency,external_consistency,corroboration,potential_bias,memory_limitations,ocr_or_record_limitations,evidentiary_value,confidence,assessment_class,notes
WIT-0001,Name not legible in OCR,Beach witness / Somerton resident,"Direct evening and morning observation; did not identify face.","Close to 30 Nov evening and 1 Dec morning events.","Mixed: belief same person but no facial identification.","Consistent with CHR-0006 and CHR-0009 as observations.","Supported by chronology and Moss-related discovery sequence.","Unknown; no bias indicated in index.","Identity continuity limitation.","Witness name illegible in OCR; visual check required.","Useful for sighting and discovery context, not settled identity.","Moderate","Moderate with stated limits","Do not use as facial identification."
WIT-0002,John Moss,Police constable / first responding police witness,"Direct scene attendance, body observation, transport, and initial search.","Immediate 1 Dec response.","Generally strong within indexed summary.","Mapped to CHR-0009, CHR-0011, CHR-0012 and multiple exhibits.","Corroborated by chronology, evidence register, and later testimony.","Official role; no improper bias indicated.","Sequence details need confirmation.","OCR readable but exact wording should be checked.","High for scene, body position, initial property, and early custody.","High","Strong for core testimony","Initial search did not locate Tamam Shud slip."
WIT-0003,Edmund Leslie Hall,Municipal Tramways Trust claims officer assistant,"Record/ticket examination rather than passenger observation.","Inquest review of ticket and route record.","Focused and narrow.","Consistent with CHR-0004 and bus-ticket evidence.","Supported by ticket and conductor context.","Institutional record role; no bias indicated.","No passenger memory.","Ticket serial/route needs visual check.","High for bus-ticket issue context; none for passenger identity.","High","Strong for core testimony","Transport fact only."
WIT-0004,Arthur Anzac Holdernesse,Tram/bus conductor,"Possible route involvement but no independent recollection.","Months after route event at inquest.","Internally limited by stated lack of recollection.","Consistent with Hall only as record-linked conductor.","Corroborated by records, not memory.","No bias indicated.","Express memory limitation.","Exact name/date should be visually checked.","Low standalone value beyond record context.","Low","Weak or limited standalone value","Do not use for passenger identification."
WIT-0005,Paul Francis Lawson,Taxidermist / cast maker,"Direct creation of mould/cast; some body observations.","Cast made 7 Jun 1949; months after death.","Strong for cast creation; weaker for assumptions.","Consistent with exhibit/bust records.","Supported by EXH-0013/FID-0006 and physical evidence catalogue.","No bias indicated.","Body condition changed by embalming/postmortem state.","Page images should be checked for exact assumptions.","Moderate: high for cast creation, limited for identification inference.","Moderate","Moderate with stated limits","Separate direct creation from assumptions."
WIT-0006,Gordon Kenneth Strapps,Evening beach witness,"Direct evening observation from limited view.","30 Nov evening.","Focused observation with stated no movement.","Consistent with Neill and CHR-0007.","Corroborated by Neill at general observation level.","No bias indicated.","Evening conditions and limited view.","OCR/page check useful.","Moderate for second evening observation; low for identity.","Moderate","Moderate with stated limits","No settled identity."
WIT-0007,John Matthew Dwyer,Medical witness / postmortem examiner,"Direct postmortem examination and medical observations.","2 Dec postmortem and inquest testimony.","Strong but medical opinion contains uncertainty.","Consistent with medical registers and specimen chain.","Corroborated by Cowan, Bennett, Cleland/Hicks context.","Professional witness; no bias indicated.","Not applicable in same way as lay memory; medical limits apply.","OCR medical terms require manual transcription.","High for postmortem observations; cautious for cause/timing opinion.","High","Strong for core testimony","Do not overstate cause of death."
WIT-0008,Robert James Cowan,Deputy Government Analyst,"Direct receipt and analysis of submitted specimens.","2 Dec receipt/analysis testimony.","Focused and narrow.","Consistent with CHR-0013 and CHR-0014.","Corroborated by toxicology register and chronology.","Professional witness; no bias indicated.","Limited to submitted specimens/tests.","Chemical terms need manual check.","High for common-poison testing scope; not absence of all toxic agents.","High","Strong for core testimony","Scope limitation central."
WIT-0009,Olive Constance Neill,Evening beach witness,"Direct evening observation with Strapps.","30 Nov evening.","Focused but limited.","Consistent with Strapps and CHR-0007.","Corroborated by Strapps at observation level.","No bias indicated.","Limited view and no identification.","Single-page OCR; name distortion possible.","Moderate for evening observation; low for identity.","Moderate","Moderate with stated limits","No settled identity."
WIT-0010,Harold Rolfe North,Senior porter / cloak room witness,"Direct record/property production; did not issue ticket.","Inquest testimony about 30 Nov ticket and Jan suitcase context.","Strong for produced ticket; limited for issuer/depositor.","Consistent with suitcase chronology.","Corroborated by Leane and exhibit records.","Institutional role; no bias indicated.","Did not issue ticket; actual issuer absent.","Ticket/custody details need visual check.","Moderate to high for luggage process; low for depositor identity.","Moderate","Moderate with stated limits","A. Craig absent."
