Research ID,Priority,Research Focus,Controlling IDs,Required Evidence or Action,Boundary Condition
FR11-001,Critical,Official identity status,"IR-001; IG-002; M11-IG-0001","Acquire or monitor coroner, SAPOL, or FSSA determination.","Do not state official closure until official record is acquired."
FR11-002,Critical,DNA documentation and custody,"M11-IG-0002","Acquire technical laboratory report, chain of custody, match methodology, or official forensic report.","Do not substitute public summaries for full methodology."
FR11-003,Critical,Medical cause and toxicology,"IR-002; IG-001; IG-008; MU-0001; MU-0002; MU-0003","Acquire full autopsy, toxicology, laboratory notes, and expert review.","Do not infer agent or mechanism from negative common-poison testing."
FR11-004,Critical,Tamam Shud slip custody,"IG-003; PEU-0001","Locate property notes, official transcript pages, and exhibit custody record.","Do not infer finder or timing without source."
FR11-005,Critical,Rubaiyat copy provenance,"IR-005; IG-004; PEU-0010; M11-IG-0004","Locate police file, exhibit photographs, paper/print test results, and archive correspondence.","Do not treat recovery narrative as closed without custody record."
FR11-006,High,Place and time of death,"IR-003; CU-0005-CU-0010; MU-0004-MU-0006","Acquire witness transcripts, scene photographs, scene reports, and pathology review.","Do not merge witness observations into certain identity or exact TOD."
FR11-007,High,Suitcase association,"IR-004; IG-005; PEU-0002","Acquire cloakroom records, property notes, and exhibit chain.","Do not move from association to ownership or depositor identity without source."
FR11-008,High,Clothing label evidence,"IG-006; PEU-0003","Acquire high-resolution garment photographs and textile/exhibit reports.","Do not infer motive, actor, or timing from label absence alone."
FR11-009,High,Photograph and exhibit holdings,"PEU-0006; PEU-0007; PEU-0009","Query archive, police historical, museum, and coroner holdings.","Do not assume destruction unless official record supports it."
FR11-010,High,Security archive linkage,"IR-007; IG-012; M11-IG-0007","Conduct documented archive searches with reproducible terms and record sets.","Do not convert historical plausibility into case proof."
FR11-011,Medium,Writing/code analysis,"IR-006; IG-011; M11-IG-0007","Acquire high-quality images and commission document/cryptanalytic review.","Do not present a plaintext or function without accepted evidence."
FR11-012,Medium,Transport and movement reconstruction,"IG-009; CU-0001-CU-0003","Acquire ticket statements, transport timetables, and transport records.","Do not identify purchaser or route beyond source precision."
FR11-013,Low,Later synthesis review,"SRM-006","Use later commentary only to locate leads after primary sources are exhausted.","Do not cite commentary as primary evidence."
