crossref_id,physical_evidence_id,existing_evidence_id,exhibit_id_or_related_record,document_or_register,page_or_record_reference,chapter_use,notes
CH06-XR-001,PE-0001,EV-0005,SCN-0001; SCN-0002,DOC-0001,"pp.5,19","Discovery scene; complete inventory","Body/location context."
CH06-XR-002,PE-0002,EV-0014,SCN-0007; PEU-0004,DOC-0001,"pp.5,17,19,21","Discovery scene; personal property","Partly smoked cigarette; collection/testing unknown."
CH06-XR-003,PE-0003,EV-0005,EXH-0011,DOC-0001,"pp.21,57,77,79,81","Clothing; complete inventory","Body-clothing ensemble."
CH06-XR-004,PE-0004,EV-0004,POS-0010,DOC-0001,p.57,"Clothing; complete inventory","Body/suitcase tie grouping; T. Keane mark unresolved."
CH06-XR-005,PE-0005,EV-0005,FID context,DOC-0001,"pp.27,57,79,81","Clothing; complete inventory","Shoes condition observations."
CH06-XR-006,PE-0006,EV-0005,PE-0024,DOC-0001,"pp.57,79,81","Clothing; complete inventory","Socks and vegetation context."
CH06-XR-007,PE-0007,N/A,PEU-0003,DOC-0001,"pp.5,7,59,81","Clothing; complete inventory","Missing/removed labels; timing unresolved."
CH06-XR-008,PE-0008,EV-0008,EXH-0001; CHR-0002; CHR-0003,DOC-0001,"pp.5,21,75","Personal property; complete inventory","Rail ticket."
CH06-XR-009,PE-0009,EV-0009,EXH-0002; CHR-0004,DOC-0001,"pp.5,21,23,25","Personal property; complete inventory","Bus ticket."
CH06-XR-010,PE-0010,EV-0012,EXH-0003,DOC-0001,"pp.21,57","Personal property; complete inventory","Cigarette packet."
CH06-XR-011,PE-0011,EV-0013,EXH-0003,DOC-0001,"pp.21,57","Personal property; complete inventory","Matches box."
CH06-XR-012,PE-0012,EV-0010,EXH-0003,DOC-0001,"pp.5,21,57","Personal property; complete inventory","Combs."
CH06-XR-013,PE-0013,EV-0011,EXH-0003,DOC-0001,"pp.5,21,57","Personal property; complete inventory","Chewing gum."
CH06-XR-014,PE-0014,EV-0001,EXH-0009; PEU-0001; PRH-0009,DOC-0001,"pp.5,57,71,73,81","Tamam Shud slip; complete inventory","Fob-pocket slip."
CH06-XR-015,PE-0015,EV-0002,EXH-0015; PEU-0010,DOC-0001,"pp.5,71,73","Rubaiyat; complete inventory","Rubaiyat comparison/reference material."
CH06-XR-016,PE-0016,N/A,PRH-0001,DOC-0012,file,"Rubaiyat; preservation history","Code/markings digital image."
CH06-XR-017,PE-0017,EV-0003,EXH-0012; CHR-0017; PRH-0007,DOC-0001,"pp.53,57,75,77","Suitcase; complete inventory","Unclaimed suitcase."
CH06-XR-018,PE-0018,N/A,EXH-0006,DOC-0001,"pp.53,57","Suitcase; complete inventory","Luggage ticket."
CH06-XR-019,PE-0019,EV-0003,POS-0010,DOC-0001,"pp.57,59,61,79","Suitcase contents; complete inventory","Suitcase clothing/textiles."
CH06-XR-020,PE-0020,N/A,POS-0011,DOC-0001,"pp.57,59,61","Suitcase contents; complete inventory","Tools and personal articles."
CH06-XR-021,PE-0021,N/A,POS-0011,DOC-0001,p.59,"Suitcase contents; complete inventory","Pencils/writing implements."
CH06-XR-022,PE-0022,N/A,PEU-0005; CHR-0018,DOC-0001,"pp.7,59,61,79","Suitcase contents; physical assessment","Thread correspondence testimony."
CH06-XR-023,PE-0023,N/A,SCN-0006,DOC-0001,"pp.17,19,37,71,81,99","Discovery scene; complete inventory","Sand observations; no sample custody."
CH06-XR-024,PE-0024,N/A,PEU vegetation context,DOC-0001,"pp.79,81","Clothing; complete inventory","Barley grass/seed material."
CH06-XR-025,PE-0025,EV-0015,FID-0003; FID-0004; PRH-0002,DOC-0001; DOC-0016,"pp.63,67; file","Biological evidence; preservation","Fingerprint records."
CH06-XR-026,PE-0026,EV-0016,FID-0001; FID-0002; PRH-0003,DOC-0001; DOC-0017,"pp.35,39,41,67; file","Biological evidence; preservation","Dental chart/teeth."
CH06-XR-027,PE-0027,EV-0007,FID-0006; EXH-0013; PRH-0006,DOC-0001,"pp.27,77","Biological evidence; preservation","Death mask/bust."
CH06-XR-028,PE-0028,EV-0006,EV-0006,DOC-0001,"pp.35,67","Biological evidence; complete inventory","Hair as potential evidence; weak primary support."
CH06-XR-029,PE-0029,EV-0017,EXH-0014; PRH-0010; TOX-0001,DOC-0001,"pp.39,47,49","Biological evidence; preservation","Biological specimens."
CH06-XR-030,PE-0030,EV-0003,EXH-0010; PRH-0005,DOC-0001,p.75,"Preservation; missing evidence","Suitcase photographs."
CH06-XR-031,PE-0031,EV-0005,EXH-0007; FID-0005; PRH-0004,DOC-0001,p.63,"Preservation; missing evidence","Body photographs."
CH06-XR-032,PE-0032,N/A,SCN-0003 to SCN-0006,DOC-0001,"pp.15,17,19,21,51,67","Discovery scene; complete inventory","Scene environment."
CH06-XR-033,PE-0033,N/A,Victimology note,DOC-0001,p.59,"Personal property; complete inventory","Cash entry; low confidence."
CH06-XR-034,PE-0034,N/A,POS-0011,DOC-0001,"pp.59,61","Suitcase contents; complete inventory","Stencil materials."
