fact_id,paragraph_id,statement,supporting_sources,source_type,confidence,notes
EFC06-001,CH06-P002,"Physical evidence layer contains 34 catalogue entries, 14 scene components, 34 custody entries, 10 preservation entries, and 10 unresolved questions.","research/physical_evidence/physical_evidence_catalogue.csv; research/physical_evidence/scene_reconstruction_database.csv; research/physical_evidence/chain_of_custody_confidence_matrix.csv; research/physical_evidence/preservation_history.csv; research/physical_evidence/physical_evidence_uncertainties.csv","Project registers","High","Counts verified from CSV row counts."
EFC06-002,CH06-P004,"No physical-evidence entry has a complete custody trail; custody matrix records 29 fragmentary, 4 unknown, and 1 not applicable.","research/physical_evidence/chain_of_custody_confidence_matrix.csv; research/physical_evidence/physical_evidence_summary.md","Project custody matrix","High","Central chapter limitation."
EFC06-003,CH06-P006,"Body location and orientation are recorded near Somerton Beach seawall with head/shoulders supported and feet toward sea/west.","research/physical_evidence/scene_reconstruction_database.csv; research/physical_evidence/physical_evidence_source_map.csv","Scene reconstruction/source map","High","SCN-0001; SCN-0002."
EFC06-004,CH06-P007,"Partly smoked cigarette is catalogued as scene/body-adjacent observation, not confirmed recovered and tested exhibit.","research/physical_evidence/physical_evidence_catalogue.csv; research/physical_evidence/scene_reconstruction_database.csv","Catalogue/scene register","Moderate","PE-0002; SCN-0007."
EFC06-005,CH06-P011,"Body clothing ensemble includes coat, shoes, shirt, pullover, jockey underpants, singlet, socks, trousers, and one tie.","research/physical_evidence/physical_evidence_catalogue.csv; research/indexes/exhibit_index.csv","Catalogue/exhibit index","High existence; Moderate details","PE-0003; EXH-0011."
EFC06-006,CH06-P015,"Removed or missing labels are observed, but timing, intent, or concealment is not established.","research/physical_evidence/physical_evidence_catalogue.csv; research/physical_evidence/physical_evidence_uncertainties.csv","Catalogue/uncertainty register","Moderate","PE-0007; PEU-0003."
EFC06-007,CH06-P016,"Rail and bus tickets are physical/property evidence for issue and recovery context but do not identify purchaser or full route travelled.","research/physical_evidence/physical_evidence_catalogue.csv; research/chronology/chronology_master.csv","Catalogue/chronology","High","PE-0008; PE-0009."
EFC06-008,CH06-P017,"No confirmed saliva, fingerprint, brand-comparison, or toxicological examination of the cigarette is recorded.","research/physical_evidence/physical_evidence_catalogue.csv; research/physical_evidence/physical_evidence_uncertainties.csv","Catalogue/uncertainty register","Moderate","PE-0002; PEU-0004."
EFC06-009,CH06-P020,"Suitcase was found unclaimed at Adelaide Railway Station, seen by Leane on 1949-01-14, and taken into police possession on 1949-01-19.","research/physical_evidence/physical_evidence_catalogue.csv; research/chronology/chronology_master.csv","Catalogue/chronology","High for inquest existence; Moderate custody","PE-0017."
EFC06-010,CH06-P021,"Suitcase record supports documented existence, police possession, and internal association evidence, not ownership or complete custody.","research/physical_evidence/physical_evidence_catalogue.csv; research/physical_evidence/chain_of_custody_confidence_matrix.csv","Catalogue/custody matrix","High/Moderate","Ownership not inferred."
