source_id,title,author,publication,date,document_type,source_level,primary_or_secondary,repository,url,date_accessed,reliability,possible_bias,copyright_status,verification_status,relevant_chapters,notes
SRC-0001,"Inquest into the Death of a Body Located at Somerton on 1.12.48","Thomas Erskine Cleland; City Coroner","State Records of South Australia","1949-06-17 and 1949-06-21","Coronial inquest file","Level 1","Primary","State Records of South Australia; GRG 1/27 File 71/1949","https://archives.sa.gov.au/finding-information/discover-our-collection/stories-from-the-archive/but-what-poison-mystery-of-the-somerton-man","2026-07-07","High; official coronial record identified by archive","Coronial process limited by evidence available in 1949","Crown copyright/archival access conditions likely apply","Verified record existence; direct file review pending","methodology; chronology; scene; toxicology; evidence catalogue","State Records SA says this open file includes post mortem results and witness/police statements."
SRC-0002,"Later inquest file concerning Somerton body","Coroner's Court / State Records of South Australia","State Records of South Australia","1958-03-14","Coronial inquest file","Level 1","Primary","State Records of South Australia; GRG 1/27 File 53/1958","https://archives.sa.gov.au/finding-information/discover-our-collection/stories-from-the-archive/but-what-poison-mystery-of-the-somerton-man","2026-07-07","High for record existence; content not reviewed","Restricted-access status limits independent review","Crown copyright/archival access conditions likely apply","Pending access request","methodology; chronology; evidence catalogue","State Records SA says access is restricted and requests should go to the Coroner's Court."
SRC-0003,"'But what poison?' Mystery of the Somerton Man","State Records of South Australia","State Records of South Australia","2015","Archive collection guide / institutional blog","Level 1 index","Secondary guide to primary records","State Records of South Australia","https://archives.sa.gov.au/finding-information/discover-our-collection/stories-from-the-archive/but-what-poison-mystery-of-the-somerton-man","2026-07-07","High for repository holdings; medium for case summary","Posted before later case developments; summary rather than full record","Website copyright applies","Verified","methodology; source catalogue; toxicology","Useful official guide to what State Records holds and does not hold."
SRC-0004,"Somerton body inquest","Unknown staff reporter","The News (Adelaide) via Trove/NLA","1949-06-17","Contemporary newspaper report","Level 3","High quality reporting / contemporary press","National Library of Australia Trove","https://trove.nla.gov.au/newspaper/article/130195091","2026-07-07","Medium-high; contemporary report with OCR and page image available","Press framing; not a transcript","Newspaper copyright/Trove conditions apply","Verified","chronology; toxicology; public response","Reports opening of 1949 inquest and Dwyer/Cowan evidence as published in The News."
SRC-0005,"Primary source material on the Taman Shud Case","Derek Abbott","University of Adelaide personal wiki","2015-01-22","Source index / research portal","Level 4 index","Supplementary index to primary materials","University of Adelaide personal web space","https://www.eleceng.adelaide.edu.au/personal/dabbott/wiki/index.php/Primary_source_material_on_the_Taman_Shud_Case","2026-07-07","Medium; useful locator but not itself official custody","Researcher-curated; link rot possible","Website copyright applies","Verified page; linked records require retrieval","source catalogue; methods","Lists police files, inquests, death certificate, fingerprint chart, tooth chart, code image, and related materials."
SRC-0006,"SOMERTON MAN INTELLIGENCE DOSSIER - ANALYTICAL ADDENDUM","Agent Mohnish","Local attached PDF","2025-07-15 text date; metadata created 2025-07-20","Internal prior assessment","Supplementary","Internal secondary/unverified","Local attachment","/tmp/codex-remote-attachments/019f3c2f-07c7-74a1-aa3e-caed00a1bdb2/DD898028-4D27-4AB0-98B7-D07BBFF4EF06/1-SOMERTON-MAN-INTELLIGENCE-DOSSIER.pdf","2026-07-07","Low as evidence; high as project prior-claim source","Analytical/speculative framing; contains conclusions not yet independently verified","Project internal; do not republish without owner approval","Verified as supplied document; contents unverified","all research planning only","Use only to seed questions and leads, never as proof."
SRC-0007,"The 'Somerton Man' Clues and Codes","National Film and Sound Archive; Casefile True Crime Podcast excerpt","NFSA Collection","2016","Podcast collection record","Level 4","Supplementary","National Film and Sound Archive of Australia","https://www.nfsa.gov.au/collection/item/somerton-man-clues-and-codes","2026-07-07","Medium for collection metadata; low for primary evidence","Podcast format; interpretive selection","NFSA licensing/copyright applies","Verified collection record","media appendix; source catalogue","NFSA ID 3A4SB7VF; useful media item, not primary evidence."
SRC-0008,"Somerton Man to be exhumed by police in attempt to solve mystery","Daniel Keane","ABC News","2021-04-24","News report","Level 3","High quality reporting","ABC Australia","https://www.abc.net.au/news/2021-04-24/somerton-man-to-be-exhumed-by-police/100093696","2026-07-07","Medium-high; reputable reporting but secondary","Relies on official statements and interview selection","ABC copyright applies","Pending direct review","identity; forensic follow-up; chronology","Located as cited by multiple indexes; direct page review still required."
SRC-0009,"Somerton Man exhumation to be carried out in hope of solving decades-long mystery","ABC News","ABC News","2021-05-19","News report","Level 3","High quality reporting","ABC Australia","https://www.abc.net.au/news/2021-05-19/somerton-man-exhumation-to-be-carried-out/100147592","2026-07-07","Medium-high; reputable reporting but secondary","Relies on official statements and interview selection","ABC copyright applies","Pending direct review","identity; forensic follow-up; chronology","Located via source trail; direct page review still required."
SRC-0010,"Body of Somerton Man exhumed","South Australia Police","SA Police News","2021-05-19","Police media release","Level 1","Primary official statement","South Australia Police","https://www.police.sa.gov.au/sa-police-news-assets/front-page-news/body-of-somerton-man-exhumed","2026-07-07","High if retrieved from official archive; current URL not confirmed","Police institutional perspective","Crown copyright/website terms apply","Pending retrieval; search located secondary mirrors","identity; forensic follow-up; chronology","Official item cited in multiple source trails; current SAPOL page may have moved."
