item_id,description,destination_chapter,source,status,notes
TAB-001,Key judgments and confidence,CH-01,research/verification/analytical_confidence_register.csv; research/osint/executive_summary.md,Needs generation,Core assessment table
TAB-002,Evidence hierarchy and confidence definitions,CH-02,documentation/workflows/VERIFICATION_WORKFLOW.md; research/database/decision_log.csv,Needs generation,Controls wording
TAB-003,Master chronology,CH-03,manuscript/tables/timeline_ready_for_latex.tex,Available,Existing LaTeX table
TAB-004,Chronology uncertainty register,CH-03,research/chronology/chronology_uncertainties.csv,Needs generation,Preserve contested entries
TAB-005,Movement reconstruction,CH-04,manuscript/tables/movement_reconstruction_ready_for_latex.tex,Available,Conditional identity caveats needed
TAB-006,Possession inventory,CH-04,manuscript/tables/possession_inventory_ready_for_latex.tex,Available,Use with source IDs
TAB-007,Forensic identifiers,CH-04; CH-06,manuscript/tables/forensic_identifiers_ready_for_latex.tex,Available,Fingerprints/dental/death mask
TAB-008,Physical evidence catalogue,CH-05,manuscript/tables/physical_evidence_catalogue_ready_for_latex.tex,Available,Museum-style exhibit table
TAB-009,Scene reconstruction,CH-05,manuscript/tables/scene_reconstruction_ready_for_latex.tex,Available,No narrative smoothing
TAB-010,Chain of custody confidence,CH-05,manuscript/tables/chain_of_custody_ready_for_latex.tex,Available,Important weight-control table
TAB-011,Medical observations,CH-06,manuscript/tables/medical_observations_ready_for_latex.tex,Available,Observation not interpretation
TAB-012,Toxicology register,CH-06,manuscript/tables/toxicology_ready_for_latex.tex,Available,Separate not detected from not present
TAB-013,Witness index,CH-08,manuscript/tables/witness_index_ready_for_latex.tex,Available,Add reliability classification later
TAB-014,Rubaiyat documentary evidence table,CH-07,research/physical_evidence/physical_evidence_catalogue.csv; research/osint/newly_identified_evidence.csv,Needs generation,Book/slip/code custody and interpretation
TAB-015,Context relevance matrix,CH-09,/Users/mohnish/Downloads/deep-research-report.md,Needs project-native source conversion,Context only
TAB-016,Intelligence hypothesis evidence table,CH-10,research/database/hypothesis_register.csv; research/verification/analytical_confidence_register.csv,Needs generation,Do not overstate espionage
TAB-017,ACH matrix,CH-11,/Users/mohnish/Downloads/deep-research-report.md; research/verification/verification_matrix.csv,Needs project-native source conversion,Structured analytic assessment
TAB-018,Priority intelligence requirements,CH-12,research/database/intelligence_gap_register.csv; research/osint/intelligence_gaps_mission11.csv,Needs generation,Future research agenda
TAB-019,Excluded/downgraded claims,CH-12,research/manuscript_blueprint/excluded_or_downgraded_claims.csv,Generated by Mission 12,Manuscript gatekeeping
FIGPLAN-001,Case location map,CH-03; CH-05,Future generated/rights-cleared map,Required eventually,Must use exact locations and avoid unsourced route lines.
FIGPLAN-002,Somerton Man photograph or reconstruction,CH-04,FIG-0001,Rights unresolved,Use only if custodian/licensing is clear.
FIGPLAN-003,Death mask/bust,CH-04,FIG-0004,Rights unresolved,Central to DNA/hair discussion if permitted.
FIGPLAN-004,Fingerprint chart,CH-04,FIG-0007,Rights unresolved,Identifier figure only.
FIGPLAN-005,Tooth chart,CH-04,FIG-0008,Rights unresolved,Identifier figure only.
FIGPLAN-006,Scene/body-position schematic,CH-05,research/physical_evidence/scene_reconstruction_database.csv,Needs generation,Must be schematic and source-labeled.
FIGPLAN-007,Tamam Shud slip,CH-07,FIG-0002,Rights unresolved,Do not redraw as evidence substitute.
FIGPLAN-008,Rubaiyat code markings,CH-07,FIG-0003,Rights unresolved,Use original/high-res source where possible.
FIGPLAN-009,Evidence graph / relationship network,CH-08; CH-12,research/indexes/cross_reference_map.csv; research/victimology/relationship_map.csv,Optional generation,Must distinguish confirmed links from leads.
FIGPLAN-010,Research workflow diagram,CH-02,documentation/workflows,Optional generation,Useful for reproducibility.
