research_output,destination_chapters,use_in_manuscript
verification_matrix.csv,CH-01; CH-02; CH-03; CH-06; CH-10; CH-11,Claim-status backbone and downgrade guardrail
claim_revision_register.csv,CH-02; CH-12,Revision language and excluded/downgraded claims
conflicting_sources_register.csv,CH-03; CH-06; CH-12,Conflicts to preserve rather than smooth
analytical_confidence_register.csv,CH-01; CH-10; CH-11,Analytical conclusions and confidence reasons
chronology_master.csv,CH-03,Master event sequence
chronology_uncertainties.csv,CH-03; CH-12,Timeline gaps and conflicts
witness_index.csv,CH-08,Witness/declarant layer
exhibit_index.csv,CH-05; CH-07,Exhibit/property references
document_page_index.csv,CH-02; CH-05; CH-08,Page-level source control
victim_profile.md,CH-04,"Victimology narrative source, not final prose"
movement_reconstruction.csv,CH-03; CH-04,Movement table
possession_inventory.csv,CH-04; CH-05,Possession inventory
relationship_map.csv,CH-08,Relationship/contact structure
medical_observation_register.csv,CH-06,Medical observations
toxicology_register.csv,CH-06; CH-11,Toxicology status
time_of_death_register.csv,CH-03; CH-06,Timing statements
forensic_identifiers_register.csv,CH-04; CH-06,Fingerprints/dental/death mask identifiers
physical_evidence_catalogue.csv,CH-05; CH-07,Museum-style evidence catalogue
scene_reconstruction_database.csv,CH-05,Scene components
chain_of_custody_confidence_matrix.csv,CH-05; CH-12,Custody confidence
source_register.csv,CH-02; appendices,Main source metadata
source_register_mission11.csv,CH-04; CH-07; CH-09; CH-12,OSINT source update layer
newly_identified_evidence.csv,CH-04; CH-07; CH-09; CH-12,Mission 11 findings
evidence_reliability_matrix.csv,CH-02; CH-09; CH-12,OSINT source quality
decision_log.csv,CH-02; CH-12; appendices,Methodological decisions
deep-research-report.md,CH-09; CH-10; CH-11,Contextual and structured analytic background only
