exhibit_id,existing_evidence_id_if_applicable,description,document_id,page_references,recovery_location,recovery_date,person_associated,chain_of_custody_notes,forensic_examination_notes,status,uncertainties
EXH-0001,EV-0008,Railway ticket from Adelaide to Henley Beach / ticket marked in testimony,DOC-0001,"pp.21,75",Found on body/clothing search,1948-12-01 search; ticket issued 1948-11-30,Unknown man; Douglas George Townsend,Found on body per Moss; ticket-clerk testimony says issued 30 Nov.,Transport/ticket examination through witness testimony.,Later reproduction index only; physical status unknown.,Exact exhibit number OCR uncertain; purchaser unknown.
EXH-0002,EV-0009,"Municipal Tramways Trust bus ticket, serial/punch identified",DOC-0001,"pp.21,23,25",Found on body/clothing search,1948-12-01 search; issued 1948-11-30 about 11.15 a.m.,Unknown man; Edmund Hall; Arthur Holdernesse,Found on body per Moss; Hall tied ticket to route/log; Holdernesse lacked independent recollection.,Ticket serial/punch/running journal evidence.,Physical status unknown.,Holder not identified; exact boarding/alighting unknown.
EXH-0003,EV-0012; EV-0013; EV-0010; EV-0011,"Packet containing cigarettes, matches, combs, chewing gum and other body-pocket articles, marked Exhibit C.1",DOC-0001,p.21,Body/clothing search,1948-12-01,Unknown man; John Moss,Packet containing articles put in marked Exhibit C.1.,Initial inventory only.,Physical status unknown.,Exact packet contents require full visual/manual transcript.
EXH-0004,EV-0016,"Teeth chart, marked Exhibit C.2",DOC-0001,"pp.35,39",Postmortem/dental charting,1948-12-02 or inquest exhibit date 1949-06-17,Unknown man; John Matthew Dwyer; P.C. Sutherland,Dwyer said chart was in his writing and handed to Constable Sutherland.,Dental charting.,Preserved separate DOC-0017 reproduction; original status unknown.,Exact chart annotations need non-OCR visual transcription.
EXH-0005,N/A,"Extract, marked Exhibit C.3",DOC-0001,p.39,Inquest medical testimony,1949-06-17,John Matthew Dwyer,Extract put in after teeth chart in Dwyer testimony.,"Medical/literature extract, exact content unclear.",Unknown.,OCR does not identify extract; manual page check required.
EXH-0006,EV-0003,"Luggage ticket for suitcase, marked Exhibit C.4 in OCR",DOC-0001,"pp.53,57",Adelaide Railway Station luggage/cloak room,Ticket issued 1948-11-30; suitcase taken by police 1949-01-19 per Leane,Unknown man; Harold North; Raymond Leane,North produced luggage ticket; Leane found/took possession of case.,Cloakroom ticket examination.,Physical status unknown.,OCR exhibit number distorted; exact ticket number requires visual check.
EXH-0007,EV-0005,"Body photographs, marked C.5-C.8 in OCR",DOC-0001,p.63,City Morgue Adelaide,1948-12-03,Unknown man; Patrick James Durham,Durham photographed full face and side face and produced photographs.,Photographic identification and circulation.,Some photos may exist as reproductions; original custody unknown.,Exact exhibit numbers and photograph set need visual confirmation.
EXH-0008,EV-0015,Fingerprints/fingerprint records of deceased,DOC-0001,"pp.63,67",City Morgue / police identification process,1948-12-03 and later circulation,Unknown man; Patrick James Durham; Raymond Leane,Durham fingerprinted deceased and sent copies; Leane noted circulation.,Fingerprint identification checks.,Separate DOC-0016 reproduction exists; original status unknown.,Full circulation log missing.
EXH-0009,EV-0001,"Tamam Shud paper slip, marked Exhibit C.9 in OCR",DOC-0001,"pp.5,57,71,73,81",Fob pocket of trousers on body,Exact discovery date unknown; found after initial search,Unknown man; Professor Cleland; Raymond Leane; Leonard Brown,Slip found in fob pocket; Brown received from Leane and made Rubaiyat inquiries.,Textual/paper comparison and meaning inquiries.,Physical status unknown.,Exact finder/date and paper provenance unresolved.
EXH-0010,EV-0003,"Photographs of suitcase/case, marked Exhibits C.10-C.14 in OCR",DOC-0001,p.75,Inquest exhibit record,1949-06-17,Unknown man; police photographer/investigation,Photographs of case of deceased marked as exhibits.,Photographic property documentation.,Original photo status unknown.,Need image/transcript confirmation.
EXH-0011,EV-0005,"Clothing found on body, marked Exhibit C.15",DOC-0001,p.77,Body / inquest exhibit,1948-12-01 recovery; marked 1949-06-17/21,Unknown man; Raymond Leane,Clothing found on body put in as exhibit.,Clothing/property examination.,Coroner ordered custody with police per OCR.,Exact item list and later custody unknown.
EXH-0012,EV-0003,"Suitcase found at station, marked Exhibit C.16",DOC-0001,p.77,Adelaide Railway Station,Found January 1949 per Leane,Unknown man; Raymond Leane,Suitcase found at station put in as exhibit.,Property/exhibit examination.,Coroner ordered custody with police per OCR.,Exact current status unknown.
EXH-0013,EV-0007,"Bust/cast made from body, marked Exhibit C.17",DOC-0001,"pp.27,77",City Mortuary / inquest exhibit,Made 1949-06-07; marked in inquest,Unknown man; Paul Lawson; Raymond Leane,Lawson made cast; bust put in as exhibit.,Identification/death-mask documentation.,Coroner ordered custody with police per OCR; current custodian unknown.,Exact custody and preservation status unknown.
EXH-0014,EV-0017,"Biological specimens: stomach contents, liver/muscle, urine, blood",DOC-0001,p.47,Postmortem chain to analyst,Received by Cowan 1948-12-02,Unknown man; P.C. Sutherland; Robert Cowan,Cowan received and analyzed specimens for common poisons.,Toxicology analysis.,Physical specimens likely unavailable; documentary status only.,Exact lab notes and retained sample status unknown.
EXH-0015,EV-0002,Rubaiyat copy/reference book used for Tamam Shud comparison,DOC-0001,"pp.5,71,73",Bookshop/library inquiry; original associated copy provenance unresolved,1949 inquiry; exact date unknown,Leonard Brown; unknown man,Brown compared slip against book copies and coroner associated paper with Rubaiyat edition.,Textual comparison; paper/type inquiry.,Associated original book status unknown.,Exact recovery and owner of associated Rubaiyat copy unresolved.
