identifier_id,type,description,source,document_id,page_file_reference,current_evidentiary_value,limitations
FID-0001,dental chart,Dwyer prepared a missing-teeth chart; separate chart reproduction preserved as DOC-0017.,John Matthew Dwyer; DOC-0017,DOC-0001; DOC-0017,DOC-0001 p.35; DOC-0017 p.1,High for existence; moderate for exact notation.,Chart image has no OCR and exact dental notation needs specialist/manual transcription.
FID-0002,dental characteristics,Several teeth missing; Dwyer stated missing teeth would be noticeable if the man laughed but not necessarily if speaking.,John Matthew Dwyer,DOC-0001,p.35,High as identification feature.,No comparative dental records acquired.
FID-0003,fingerprints,Fingerprint chart of deceased male found at Somerton; separate visual reproduction preserved.,DOC-0016,DOC-0016,DOC-0016 p.1,High for existence; limited for comparison without original/search logs.,Image quality moderate; fingerprint classification annotations need specialist review.
FID-0004,fingerprints,"Durham fingerprinted deceased and circulated copies to Australian states, New Zealand and important overseas bureaus.",Patrick James Durham,DOC-0001,p.63,High for process.,Full bureau response file not acquired.
FID-0005,photographs,Durham produced full-face and side-face photographs marked as exhibits.,Patrick James Durham,DOC-0001,p.63,High for existence.,Original photos/exhibit images not fully catalogued in Mission 8.
FID-0006,death mask/bust,Lawson made a cast of the features; bust was later marked as exhibit C.17.,Paul Francis Lawson; Raymond Lionel Leane,DOC-0001,"pp.27,77",High for existence.,Embalming/formalin and postmortem changes limit living-appearance inference.
FID-0007,physical measurements,Height/build not precisely measured in extracted medical pages; described as tallish and in good physical condition.,John Matthew Dwyer,DOC-0001,p.35,Moderate.,Need autopsy sheet or police physical description for exact measurements.
FID-0008,scars/marks,Light scar on left upper arm; uncertain vaccination mark; two recent right-hand abrasions noted.,John Matthew Dwyer; John Burton Cleland,DOC-0001,"pp.43,87",Moderate.,No complete body map acquired.
FID-0009,biological samples,"Stomach contents, liver/muscle, urine and blood were submitted to Cowan.",Robert James Cowan,DOC-0001,p.47,High for 1948 submission; low for present availability.,Physical sample retention/disposal unknown.
FID-0010,death certificate,Certified copy records unidentified male body and death registration details.,"Registrar of Births, Deaths and Marriages",DOC-0003,p.1,Moderate.,OCR is poor; visual certificate review needed before exact transcription.
