source_id,title,author,publication,date,document_type,primary_or_secondary,repository,url,date_accessed,reliability,notes,topics
M11-SRC-0001,SA Police report to coroner into Somerton Man case complete 'very soon',Ethan Rix,ABC News,2026-07-06,Current reporting / official-process update,Secondary reporting with direct Abbott statements and SAPOL position,ABC,https://www.abc.net.au/news/2026-07-06/sa-police-report-coroner-into-somerton-man-case-very-soon/106869302,2026-07-08,High for current official-process status; medium for Abbott's account of expected timing,ABC reports SAPOL had not yet presented report to coroner; Abbott says police told him it would be soon.,Webb identity; DNA; official status
M11-SRC-0002,"Body of Somerton Man exhumed, South Australia",South Australia Police / Mirage News republication,Mirage News / originating SAPOL release,2021-05-19,Official police public release republication,Primary official release republished by media site,Mirage News / SAPOL,https://www.miragenews.com/body-of-somerton-man-exhumed-south-australia-562286/,2026-07-08,High for exhumation/FSSA intent; use original SAPOL URL if accessible,"Records official exhumation, Operation Persevere/Persist and planned DNA recovery attempts.",Exhumation; DNA; FSSA
M11-SRC-0003,"Somerton Man identified as Melbourne electrical engineer, researcher says",Daniel Keane; Gabriella Marchant,ABC News,2022-07-26,Researcher-identification report,Secondary reporting of researcher announcement,ABC,https://www.abc.net.au/news/2022-07-26/somerton-man-identified-melbourne-born-engineer-researcher-says/101272182,2026-07-08,High for Abbott announcement; not official identity determination,Reports Abbott's claim that the man was Carl Charles Webb using DNA from hairs in the plaster bust.,Webb identity; DNA
M11-SRC-0004,"The DNA, the code and the conspiracies - your top questions answered",Bridget Judd,ABC News,2022-08-03,Expert Q&A / explanatory reporting,Secondary reporting with direct expert statements,ABC,https://www.abc.net.au/news/2022-08-03/somerton-man-live-blog-top-questions-from-experts/101296556,2026-07-08,Medium-high; expert statements but not formal lab report,"Explains genetic genealogy workflow, Keane match pathway, GEDmatch and continuing uncertainty.",DNA; genealogy; code; future work
M11-SRC-0005,The Somerton Man has been named. What do we know about Carl 'Charles' Webb?,Rebecca Opie,ABC News,2022-08-02,Biographical reporting,Secondary reporting citing documents,ABC,https://www.abc.net.au/news/2022-08-02/somerton-man-who-was-carl-charles-webb/101288890,2026-07-08,Medium; direct civil records should be acquired separately,"Summarizes Webb birth, marriage, occupations, case chronology and Thomson/Jestyn timeline.",Carl Webb; civil records; Jestyn
M11-SRC-0006,"Is Carl Webb really the Somerton Man and if so, was he a spy?",ABC News,ABC News,2022-09-02,Conflict / sceptical reporting,Secondary reporting with named dissent,ABC,https://www.abc.net.au/news/2022-09-02/is-carl-webb-really-the-somerton-man-and-was-he-a-spy/101375542,2026-07-08,"Medium; useful for conflict mapping, not proof of alternative theory",Records Gordon Cramer's concerns and SAPOL/coroner formal-determination boundary.,Conflicts; DNA; spy claims
M11-SRC-0007,"What do we know about Carl Webb? Researchers find ads, photographs",ABC News,ABC News,2022-09-08,Biographical / clothing-link reporting,Secondary reporting of researcher leads,ABC,https://www.abc.net.au/news/2022-09-08/somerton-man-found-in-nephews-clothe-researchers-believes/101405152,2026-07-08,Medium; clothing connection remains inferential,"Reports possible John Keane clothing link, family photos and handwriting lead.",Clothing; Keane; Webb family
M11-SRC-0008,Somerton Man Charles Webb's true identity revealed in family photographs and divorce papers,Ben Cheshire,ABC Australian Story / ABC News,2022-11-21,Family photograph / divorce-document reporting,Secondary reporting with family album and divorce-file material,ABC,https://www.abc.net.au/news/2022-11-21/somerton-manfamily-photographs-revealed-/101643524,2026-07-08,Medium-high for family-photo existence; direct documents still needed,Reports family photographs and divorce-paper evidence; says Webb finding remained unverified by SAPOL.,Webb photos; divorce; identity
M11-SRC-0009,"Somerton Man, Australia's Oldest Cold Case, Solved with DNA from a Single Hair",Astrea Forensics,Astrea Forensics,2022,Laboratory participant blog,"Primary/participant account, not official police/coroner record",Astrea Forensics,https://www.astreaforensics.com/new-blog/somerton-man-australias-oldest-cold-case-solved-with-dna-from-a-single-hair,2026-07-08,Medium-high for lab-process claim; lacks formal peer-reviewed/public validation,"States DNA was extracted, sequenced and genotyped at Astrea from a single 5 cm rootless hair strand.",DNA; lab process
M11-SRC-0010,Somerton body inquest,Unknown reporter,The News via Trove,1949-06-17,Contemporary newspaper report,Contemporary press,Trove / NLA,https://trove.nla.gov.au/newspaper/article/130195091,2026-07-08,Medium-high for contemporary public record; lower than transcript,"Reports opening inquest, non-natural/poison language and murder not ruled out.",Inquest; poison; homicide
