Fact ID,Chapter Statement Checked,Primary Support,Status,Confidence,Quality Note
MF09-001,"Forensic-medical layer contains 38 observations, 14 toxicology entries, 7 time-of-death entries, 10 identifiers, 10 uncertainties, and 26 priority transcription records.","medical_observation_register.csv; toxicology_register.csv; time_of_death_register.csv; forensic_identifiers_register.csv; medical_uncertainties.csv; medical_transcription_index.csv",Supported,High,"Register-count statement only."
MF09-002,"Dwyer gave postmortem evidence.","medical_transcriptions.md; witness_index.csv",Supported,High,"Role description."
MF09-003,"Cowan gave analytical toxicology evidence.","toxicology_register.csv; medical_transcriptions.md",Supported,High,"Role description."
MF09-004,"Bennett gave an early examination and timing estimate.","time_of_death_register.csv TOD-0001; TOD-0002",Supported,Moderate,"Timing estimate is approximate."
MF09-005,"Cause remains unresolved; Dwyer recorded heart failure but not what caused it.","medical_observation_register.csv MED-0018; medical_uncertainties.csv MU-0001",Supported,High,"Avoids final-cause language."
MF09-006,"Cowan found no signs of common poison in submitted specimens.","toxicology_register.csv TOX-0001; medical_observation_register.csv MED-0022; MED-0023",Supported,High,"Wording limited to common poison and submitted specimens."
MF09-007,"External condition and grooming observations are physical observations, not lifestyle or occupation evidence.","medical_observation_register.csv MED-0001; MED-0002",Supported with limitation,High,"Interpretive boundary added by chapter."
MF09-008,"No external markings of note and no hypodermic evidence were recorded, with two recent right-hand abrasions.","medical_observation_register.csv MED-0003; MED-0019; MED-0020",Supported,Moderate to High,"Does not claim complete exclusion of trauma/injection."
MF09-009,"Rigor and lividity are documented but do not prove death location.","medical_observation_register.csv MED-0004; MED-0031; MED-0037",Supported with limitation,Moderate to High,"Appropriate caution."
MF09-010,"Stomach congestion, blood mixed with food, and digestion timing are documented.","medical_observation_register.csv MED-0011; MED-0012; MED-0016; TOD-0003",Supported,Moderate to High,"Timing caveat preserved."
MF09-011,"Organ congestion, normal/contracted heart, and enlarged spleen are documented.","medical_observation_register.csv MED-0013; MED-0014; MED-0015",Supported,High,"Gross findings only."
MF09-012,"Liver-lobule finding is partially documented and not converted into final cause.","medical_observation_register.csv MED-0017; MED-0035",Supported with limitation,Moderate,"OCR and interpretation limit precision."
MF09-013,"Several toxic substances/classes were considered but none recorded as detected in acquired primary text.","toxicology_register.csv TOX-0002 through TOX-0014",Supported,Moderate,"Depends on acquired text; missing full lab notes."
MF09-014,"Exact toxicology methods, panel, sensitivity, sample condition, and lab notes are not acquired.","toxicology_register.csv; forensic_medical_summary.md; medical_uncertainties.csv MU-0002",Supported,High,"Important limitation preserved."
MF09-015,"Hicks's exact drug group or exhibit terminology remains obscured and is not named.","toxicology_register.csv TOX-0014; medical_uncertainties.csv MU-0003",Supported,High,"Prevents OCR-based fabrication."
MF09-016,"Bennett's timing estimate supports an approximate early-morning death estimate, not an exact time.","time_of_death_register.csv TOD-0001; TOD-0002",Supported,Moderate,"Precision controlled."
MF09-017,"Dwyer's stomach-content timing is not a precise final-meal time.","time_of_death_register.csv TOD-0003; medical_observation_register.csv MED-0016",Supported,Moderate,"Digestion and anxiety caveats preserved."
MF09-018,"Dental chart and fingerprint chart exist, but detailed comparative records/search logs are incomplete.","forensic_identifiers_register.csv FID-0001; FID-0003; FID-0004",Supported,High,"Identifier limits stated."
MF09-019,"Death mask/bust creation is documented, but living-appearance inference is limited.","forensic_identifiers_register.csv FID-0006",Supported,High,"Postmortem-change caution preserved."
MF09-020,"Modern forensic work supports researcher/lab-led Carl Charles Webb attribution but repository lacks final official identification report.","Mission 11 OSINT expansion; identity_status_guidance.md",Supported,Moderate,"Identity-status guidance controls wording."
MF09-021,"Modern DNA, hair, and exhumation material do not resolve medical cause of death in this chapter.","forensic_medical_summary.md; Mission 11 OSINT expansion",Supported as scope control,High,"Prevents identity evidence from being treated as cause-of-death evidence."
MF09-022,"Medical uncertainty register controls unresolved issues.","medical_uncertainties.csv MU-0001 through MU-0010",Supported,High,"All listed uncertainties mapped."
