queue_id,document_id,page_number,file_name,reason_transcription_needed,priority,expected_difficulty,notes
TQ-0001,DOC-0001,1,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0002,DOC-0001,2,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0003,DOC-0001,3,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0004,DOC-0001,4,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0005,DOC-0001,5,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",Critical,Medium,Manual page-image verification required before final citation.
TQ-0006,DOC-0001,7,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",Critical,Medium,Manual page-image verification required before final citation.
TQ-0007,DOC-0001,9,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",Critical,Medium,Manual page-image verification required before final citation.
TQ-0008,DOC-0001,15,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0009,DOC-0001,17,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0010,DOC-0001,19,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0011,DOC-0001,21,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0012,DOC-0001,23,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0013,DOC-0001,25,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0014,DOC-0001,27,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0015,DOC-0001,35,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",Critical,Medium,Manual page-image verification required before final citation.
TQ-0016,DOC-0001,37,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",Critical,Medium,Manual page-image verification required before final citation.
TQ-0017,DOC-0001,39,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0018,DOC-0001,47,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",Critical,Medium,Manual page-image verification required before final citation.
TQ-0019,DOC-0001,49,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0020,DOC-0001,51,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0021,DOC-0001,53,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0022,DOC-0001,57,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",Critical,Medium,Manual page-image verification required before final citation.
TQ-0023,DOC-0001,59,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",Critical,Medium,Manual page-image verification required before final citation.
TQ-0024,DOC-0001,61,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",Critical,Medium,Manual page-image verification required before final citation.
TQ-0025,DOC-0001,63,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0026,DOC-0001,65,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0027,DOC-0001,67,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0028,DOC-0001,69,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0029,DOC-0001,71,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",Critical,Medium,Manual page-image verification required before final citation.
TQ-0030,DOC-0001,73,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",Critical,Medium,Manual page-image verification required before final citation.
TQ-0031,DOC-0001,75,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",Critical,Medium,Manual page-image verification required before final citation.
TQ-0032,DOC-0001,77,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",Critical,Medium,Manual page-image verification required before final citation.
TQ-0033,DOC-0001,79,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0034,DOC-0001,81,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",Critical,Medium,Manual page-image verification required before final citation.
TQ-0035,DOC-0001,83,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0036,DOC-0001,85,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0037,DOC-0001,87,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0038,DOC-0001,89,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",High,Medium,Manual page-image verification required before final citation.
TQ-0039,DOC-0001,91,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",Critical,Medium,Manual page-image verification required before final citation.
TQ-0040,DOC-0001,93,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",Critical,Medium,Manual page-image verification required before final citation.
TQ-0041,DOC-0001,95,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",Critical,Medium,Manual page-image verification required before final citation.
TQ-0042,DOC-0001,97,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",Critical,Medium,Manual page-image verification required before final citation.
TQ-0043,DOC-0001,99,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",Critical,Medium,Manual page-image verification required before final citation.
TQ-0044,DOC-0001,101,inquest1949ocr.pdf,"Page contains key witness, exhibit, medical, toxicology, or custody evidence; OCR contains distortions requiring manual confirmation.",Critical,Medium,Manual page-image verification required before final citation.
TQ-0045,DOC-0002,1-122,inquest1958.pdf,Later inquest scan has essentially no OCR; full visual transcription needed.,Critical,High,Prioritize only if relevant to Mission 7 workstream.
TQ-0046,DOC-0004,1,CIB_1948.pdf,Police report has no extractable OCR.,Critical,High,Prioritize only if relevant to Mission 7 workstream.
TQ-0047,DOC-0005,1-4,CIB_1959.pdf,Police report has no meaningful OCR.,Critical,High,Prioritize only if relevant to Mission 7 workstream.
TQ-0048,DOC-0006,1-3,police_file1949.pdf,Police file has no extractable OCR.,Critical,High,Prioritize only if relevant to Mission 7 workstream.
TQ-0049,DOC-0016,1,fingerprints.pdf,Fingerprint chart requires visual indexing.,High,High,Prioritize only if relevant to Mission 7 workstream.
TQ-0050,DOC-0017,1,teeth.pdf,Tooth chart requires visual indexing.,High,High,Prioritize only if relevant to Mission 7 workstream.
TQ-0051,DOC-0012,1-10,lawson_diaries.pdf,Lawson diary scan has minimal OCR.,Medium,Medium,Prioritize only if relevant to Mission 7 workstream.
TQ-0052,DOC-0013,1,Len_notes_1987.pdf,Len Brown note has no OCR.,Medium,Medium,Prioritize only if relevant to Mission 7 workstream.
TQ-0053,DOC-0007,1-20,mangnoson1949.pdf,Related-case record has minimal OCR.,Low,Medium,Prioritize only if relevant to Mission 7 workstream.
TQ-0054,DOC-0008,1-28,magisterial1945.pdf,Related-case record has minimal OCR.,Low,Medium,Prioritize only if relevant to Mission 7 workstream.
TQ-0055,DOC-0014,1-105,pakies.pdf,Guest book has minimal OCR; contextual only.,Low,Medium,Prioritize only if relevant to Mission 7 workstream.
