Matrix ID,Assessment Area,Repository Inputs,Evidence Position,Confidence,Limitations,Chapter Destination
FM09-001,External body condition,"medical_observation_register.csv MED-0001; MED-0002; MED-0006; MED-0007; MED-0008; medical_transcriptions.md","Dwyer records external condition, grooming observations, pupils, saliva, sand, sunburn distribution, and missing teeth as observations.",High,"Does not support occupation, social-status, lifestyle, or death-location inference by itself.","09-forensic-and-medical-assessment.tex sections 9.2 and table"
FM09-002,Trauma and injection observations,"medical_observation_register.csv MED-0003; MED-0019; MED-0020","No external markings of note, no hypodermic evidence seen, and two recent right-hand abrasions recorded.",Moderate to High,"Absence of full autopsy file and complete body map prevents complete exclusion wording.","09-forensic-and-medical-assessment.tex section 9.2"
FM09-003,Rigor and lividity,"medical_observation_register.csv MED-0004; MED-0031; MED-0037; time_of_death_register.csv","Intense rigidity and deep lividity are recorded; Cleland later discussed body-position implications.",Moderate to High,"Does not independently prove place of death or precise time of death.","09-forensic-and-medical-assessment.tex sections 9.2 and 9.5"
FM09-004,Dental identifiers,"medical_observation_register.csv MED-0005; forensic_identifiers_register.csv FID-0001; FID-0002","Missing teeth and dental chart existence are documented.",High,"Exact notation requires specialist or manual transcription; no comparative dental records acquired.","09-forensic-and-medical-assessment.tex sections 9.2 and 9.6"
FM09-005,Internal congestion and organ findings,"medical_observation_register.csv MED-0009; MED-0010; MED-0013; MED-0014; MED-0015; MED-0017","Brain/skull observations, pharynx/gullet findings, organ congestion, heart appearance, spleen enlargement, and liver findings are recorded.",High for gross observations; Moderate for liver microscopy,"Gross findings do not establish final cause; OCR and interpretation limit liver-microscopy precision.","09-forensic-and-medical-assessment.tex section 9.3"
FM09-006,Stomach findings,"medical_observation_register.csv MED-0011; MED-0012; MED-0016; time_of_death_register.csv TOD-0003","Stomach congestion, blood mixed with food, and limited digestion timing are documented.",High for observations; Moderate for timing,"Digestion timing is variable and includes an anxiety caveat; final-meal time is not precise.","09-forensic-and-medical-assessment.tex section 9.3"
FM09-007,Immediate medical event and cause uncertainty,"medical_observation_register.csv MED-0014; MED-0018; medical_uncertainties.csv MU-0001","Heart was described as normal size and contracted; Dwyer recorded heart failure but not its cause.",High,"Immediate event does not equal final cause of death.","09-forensic-and-medical-assessment.tex sections 9.1 and 9.8"
FM09-008,Toxicology specimen receipt and common-poison testing,"medical_observation_register.csv MED-0022; MED-0023; toxicology_register.csv TOX-0001","Cowan received specimens and found no signs of common poison.",High,"Negative common-poison testing does not establish broader absence of toxic agents.","09-forensic-and-medical-assessment.tex section 9.4"
FM09-009,Considered toxic substances and classes,"toxicology_register.csv TOX-0002 through TOX-0014","Multiple substances or classes were considered, suggested, discounted, or unresolved; none is recorded as detected.",Moderate,"Exact analytical methods, panel, sensitivity, sample condition, and some OCR-obscured terminology are not acquired.","09-forensic-and-medical-assessment.tex section 9.4 and table"
FM09-010,Time-of-death evidence,"time_of_death_register.csv TOD-0001; TOD-0002; TOD-0003; TOD-0005; TOD-0007; chronology_master.csv","Bennett's examination supports an approximate early-morning estimate; Dwyer, Hicks, and Cleland provide limited or conditional timing evidence.",Moderate overall; Low for conflicting interpretive timing,"Cursory observation, undocumented rigor extent, digestion variability, and conditional sighting assumptions limit precision.","09-forensic-and-medical-assessment.tex section 9.5 and table"
FM09-011,Forensic identification materials,"forensic_identifiers_register.csv FID-0001 through FID-0010; physical evidence layer; victimology package","Dental chart, fingerprints, photographs, death mask/bust, physical descriptors, and biological specimen submission are documented.",High for existence records,"Original search logs, complete bureau responses, full image catalogue, and present biological-specimen fate remain incomplete.","09-forensic-and-medical-assessment.tex section 9.6"
FM09-012,Modern forensic work,"Mission 11 OSINT expansion; identity_status_guidance.md; forensic_medical_summary.md","2021 exhumation and researcher/lab-led DNA and genealogical work are recorded as modern forensic developments.",Moderate,"No final public coroner, SAPOL, FSSA identification report, complete public DNA laboratory report, or peer-reviewed DNA identification paper is in the repository.","09-forensic-and-medical-assessment.tex section 9.7"
