movement_id,date,time,location,movement_or_event,evidence,supporting_documents,related_witnesses,confidence,uncertainty
MOV-0001,1948-11-30,06:15-14:00,Adelaide Railway Station ticket box,Henley Beach rail ticket was issued during ticket clerk Douglas George Townsend shift window.,EV-0008; EXH-0001,DOC-0001 p.75,WIT-0015,High,Ticket purchaser not identified; exact issue time unknown; does not prove deceased personally bought ticket.
MOV-0002,1948-11-30,11:15 a.m. route departure,Adelaide-Somerton bus route from Railway Station toward St Leonards,Bus ticket associated with body was issued on route departing Railway Station at about 11.15 a.m.,EV-0009; EXH-0002,"DOC-0001 pp.5,23,25",WIT-0003; WIT-0004,High,Ticket holder not identified; boarding and alighting locations not established.
MOV-0003,1948-11-30,Between bus arrival and 7:00 p.m.,Somerton Beach area,Coroner recorded no one came forward to say the man was seen at Somerton during this interval.,N/A,DOC-0001 p.7,N/A,Moderate,Negative evidence only; depends on completeness of witness canvass.
MOV-0004,1948-11-30,7:00 p.m.,Somerton Beach near steps/seawall,A man was seen lying where body was later found and raising his right arm before it fell.,EV-0014,DOC-0001 p.5; WIT-0001 pp.15-17,WIT-0001,High,Witness did not see face; identity of man as deceased not conclusively established.
MOV-0005,1948-11-30,About 7:20-8:00 p.m.,Somerton Beach near same location,Strapps and Neill observed a man lying at the beach and did not see movement.,EV-0014,"DOC-0001 pp.31-33,51",WIT-0006; WIT-0009,High,Night/dusk observation; identity not established; observations limited.
MOV-0006,1948-12-01,About 2:00 a.m. estimated,Unknown,Dr Bennett estimated death could have occurred around about 2:00 a.m. or up to eight hours before 9.40 a.m. examination.,EV-0005,"DOC-0001 pp.5,93",WIT-0018,Moderate,Medical estimate only; place of death unknown; not a movement directly observed.
MOV-0007,1948-12-01,About 6:35-6:45 a.m.,Somerton Beach,Beach witness saw activity near body after morning swim and then communicated with Constable Moss; Moss proceeded to beach after telephone message.,EV-0005; EV-0014,"DOC-0001 pp.17,19",WIT-0001; WIT-0002,High,First witness name and exact telephone/report sequence require manual page confirmation.
MOV-0008,1948-12-01,About 7:00 a.m.,Somerton Beach,Body of unknown man found on shore at Somerton.,EV-0005; EV-0014,"DOC-0001 pp.5,7; DOC-0003",WIT-0001; WIT-0002,Very High,Exact first-discovery witness details require manual confirmation.
MOV-0009,1948-12-01,After police attendance; exact time unknown,Somerton Beach to Royal Adelaide Hospital to City Mortuary,"Body was conveyed by police ambulance to Royal Adelaide Hospital, where life was pronounced extinct, then later conveyed to City Mortuary.",EV-0005,DOC-0001 p.19; p.21,WIT-0002,High,Exact transfer times not indexed.
MOV-0010,1948-12-02,7:30 a.m.,City Mortuary,Dwyer performed postmortem examination on body pointed out as found at Somerton.,EV-0005; EV-0016; EV-0017,DOC-0001 p.35,WIT-0007,High,Medical details require manual transcription and visual confirmation.
MOV-0011,1949-01-14 and 1949-01-19,Unknown,Adelaide Railway Station luggage office,Leane saw unclaimed suitcase on 14 January and took possession on 19 January.,EV-0003; EXH-0006; EXH-0012,DOC-0001 p.57,WIT-0011; WIT-0010,High,Exact chain of custody after police possession unresolved.
