fact_id,paragraph_id,statement,supporting_sources,source_type,confidence,notes
HFC04-001,CH04-P004,"Australia in 1948 was in post-war transition involving demobilisation, veteran reintegration, reconstruction, industrial change, population movement, migration policy, and imperial identity change.","/Users/mohnish/Downloads/deep-research-report.md; research/intelligence/context_assessment.md","Mission 10 contextual synthesis","Moderate","Broad historical context; specific demographic/economic statistics were not introduced."
HFC04-002,CH04-P005,"Late-1940s identity checking, database linkage, forensic capacity, and interagency search were not equivalent to modern systems.","research/intelligence/capability_assessment.csv; /Users/mohnish/Downloads/deep-research-report.md","Project-native capability assessment; Mission 10 contextual synthesis","High","Used only to explain limits."
HFC04-003,CH04-P006,"Australian citizenship was created by the Nationality and Citizenship Act 1948 and commenced on 26 January 1949.","/Users/mohnish/Downloads/deep-research-report.md","Mission 10 cited contextual source report","High","Primary legal source should be acquired if this point later carries heavier legal analysis."
HFC04-004,CH04-P006,"The Somerton death occurred before the commencement of Australian citizenship on 26 January 1949.","research/chronology/chronology_summary.md; /Users/mohnish/Downloads/deep-research-report.md","Project chronology; Mission 10 contextual synthesis","High","Crosses established discovery/death period with citizenship commencement."
HFC04-005,CH04-P008,"Adelaide functioned in the case context as state capital, rail node, administrative centre, and coastal city with relevant public spaces including Adelaide Railway Station, Glenelg and Somerton Beach.","research/database/location_register.csv; research/chronology/chronology_master.csv; /Users/mohnish/Downloads/deep-research-report.md","Project registers; Mission 10 contextual synthesis","Moderate-High","No claim made about motive or clandestine use."
HFC04-006,CH04-P011,"State Records SA identifies the 1949 inquest file and records the later 1958 file as restricted through the Coroner's Court pathway.","research/database/source_register.csv; research/primary_sources/restricted_unavailable_records.csv","Official archive/source register; restricted-record register","High","Repository/custodian fact."
HFC04-007,CH04-P012,"1948 police work relied on witness canvassing, physical-property examination, photography, fingerprints, missing-person inquiries, newspaper publicity, and inter-jurisdictional communication rather than modern DNA/digital systems.","/Users/mohnish/Downloads/deep-research-report.md; research/intelligence/capability_assessment.csv","Mission 10 contextual synthesis; project-native capability assessment","Moderate-High","Operational manuals not acquired."
HFC04-008,CH04-P013,"Fingerprint and tooth-chart reproductions are present in the acquired primary-document inventory.","research/primary_sources/primary_document_inventory.csv; research/primary_sources/mission_3_summary.md","Project primary-document inventory","High","Document-presence fact."
HFC04-009,CH04-P014,"Contemporary newspapers are useful but lower weight than official records because of OCR, press simplification and reporting limitations.","research/intelligence/source_reliability_matrix.csv; research/database/source_register.csv","Project-native reliability matrix; source register","High","Reliability statement."
HFC04-010,CH04-P015,"Physical objects can be documented while later custody remains weak or fragmentary.","research/physical_evidence/chain_of_custody_confidence_matrix.csv; research/physical_evidence/physical_evidence_summary.md","Project physical-evidence layer","High","Case-evidence custody principle."
HFC04-011,CH04-P017,"The 1949 and 1958 inquest files are among the highest-value records in the repository.","research/database/source_register.csv; research/primary_sources/primary_document_inventory.csv; research/primary_sources/mission_3_summary.md","Source register; primary-document inventory","High","High-value as records, not proof of any conclusion."
