figure_plan_id,description,destination_chapter,source,copyright_holder,licence,public_domain_status,permission_required,replacement_required,citation_required,current_status,notes
FIGPLAN-001,Case location map,CH-03; CH-05,Future generated/rights-cleared map,Unknown / future project-generated,Project-generated if created from documented data,N/A,No for original project-generated schematic; yes for any external basemap/source data,No,Yes,Required eventually,Must use exact locations and avoid unsourced route lines.
FIGPLAN-002,Somerton Man photograph or reconstruction,CH-04,FIG-0001,SRC-0005 source index / Trove and police-source trail,Unknown,Unknown,Yes,Possible,Yes,Rights unresolved,Use only if custodian/licensing is clear. Secure original file and rights before use.
FIGPLAN-003,Death mask/bust,CH-04,FIG-0004,SRC-0001; SRC-0003; SRC-0005,Unknown,Unknown,Yes,Possible,Yes,Rights unresolved,Central to DNA/hair discussion if permitted. Confirm custodian and licensing.
FIGPLAN-004,Fingerprint chart,CH-04,FIG-0007,SRC-0005 source index,Unknown,Unknown,Yes,Possible,Yes,Rights unresolved,Identifier figure only. Retrieve original chart and rights.
FIGPLAN-005,Tooth chart,CH-04,FIG-0008,SRC-0005 source index,Unknown,Unknown,Yes,Possible,Yes,Rights unresolved,Identifier figure only. Retrieve original chart and rights.
FIGPLAN-006,Scene/body-position schematic,CH-05,research/physical_evidence/scene_reconstruction_database.csv,Unknown / future project-generated,Project-generated if created from documented data,N/A,No for original project-generated schematic; yes for any external basemap/source data,No,Yes,Needs generation,Must be schematic and source-labeled.
FIGPLAN-007,Tamam Shud slip,CH-07,FIG-0002,SRC-0005; SRC-0023 source trail,Unknown,Unknown,Yes,Possible,Yes,Rights unresolved,Do not redraw as evidence substitute. Need high-resolution source and exhibit provenance.
FIGPLAN-008,Rubaiyat code markings,CH-07,FIG-0003,SRC-0005 source index,Unknown,Unknown,Yes,Possible,Yes,Rights unresolved,Use original/high-res source where possible. Need original or best available scan; avoid redrawing as evidence.
FIGPLAN-009,Evidence graph / relationship network,CH-08; CH-12,research/indexes/cross_reference_map.csv; research/victimology/relationship_map.csv,Unknown / future project-generated,Project-generated if created from documented data,N/A,No for original project-generated schematic; yes for any external basemap/source data,No,Yes,Optional generation,Must distinguish confirmed links from leads.
FIGPLAN-010,Research workflow diagram,CH-02,documentation/workflows,Unknown / future project-generated,Project-generated if created from documented data,N/A,No for original project-generated schematic; yes for any external basemap/source data,No,Yes,Optional generation,Useful for reproducibility.
