uncertainty_id,question,evidence_bearing_on_question,current_status,possible_future_tests,priority
MU-0001,What was the exact medical cause of death?,Dwyer: heart failure but unknown factor; Cowan: no common poison; Hicks/Cleland: non-natural/poison opinions.,Unresolved,Official autopsy report; official toxicology report; modern forensic review of preserved remains if available.,Critical
MU-0002,Was any toxic agent present?,No common poison detected; several agents/classes considered; no agent detected in acquired record.,Unresolved,Original lab notebooks; retained specimens; modern toxicology only if legally and materially possible.,Critical
MU-0003,Which drug group did Hicks identify in exhibit form?,"DOC-0001 pp.95-99 references a group and exhibit, but OCR/visual text obscures names.",Unresolved,Official transcript; high-resolution page/exhibit scan; pharmacology expert review.,Critical
MU-0004,How reliable was the 2 a.m. time-of-death estimate?,"Bennett estimate based on cursory look, rigor and cyanosis; Dwyer stomach timing caveated.",Partially documented,Full Bennett notes; official medical reports; forensic pathology review.,High
MU-0005,Did the body die where found?,Coroner explicitly said no proof the evening man was the deceased and could not say where death occurred.,Unresolved,Scene reports; witness transcripts; photographs; lividity/body-position review.,High
MU-0006,Can stomach contents narrow the final meal window?,Dwyer estimated up to 3-4 hours but noted anxiety may suspend digestion.,Partially documented,Autopsy report; lab description of stomach contents; forensic pathology review.,Medium
MU-0007,Were injection marks conclusively absent?,Dwyer saw no evidence; Cleland noted a hypodermic mark could be overlooked despite care.,Unresolved,Autopsy body map; high-resolution body photographs.,High
MU-0008,What are the exact dental identifiers?,Dwyer chart exists; chart image visible but exact notation remains unresolved.,Partially documented,Specialist dental chart transcription; original chart if available.,Medium
MU-0009,What was the present fate of biological specimens?,Cowan received specimens in 1948; no retention/disposal record acquired.,Unknown,Laboratory archive inquiry; Coroner/SAPOL/FSSA holdings search.,High
MU-0010,What was the medical significance of liver-lobule findings?,Dwyer noted destruction of liver lobule centres; Cleland later did not find liver section explanatory.,Unresolved,Microscopy slides if extant; full pathology report; modern hepatopathology review.,Medium
