chapter_id,latex_file,title,purpose,key_findings,evidence_inputs,tables_needed,figures_needed,unresolved_gaps,confidence_level,source_files
CH-01,manuscript/chapters/01-executive-assessment.tex,Executive Assessment,"State the dossier's key judgments, evidence posture, confidence levels, and unresolved issues.",Exact cause of death remains unresolved; Webb attribution is a strong researcher/lab lead pending official confirmation; poisoning/intelligence claims remain unproven; custody gaps limit later interpretations.,verification matrix; analytical confidence register; Mission 11 OSINT summary; decision log; physical and medical summaries,Key judgments and confidence table; major intelligence gaps table,None required; optional evidence-map schematic after source permissions review,Official SAPOL/coroner identification; complete toxicology/lab records; exhibit custody; Mission 10 structured registers not yet integrated as project files,Moderate,research/verification/verification_summary.md; research/verification/analytical_confidence_register.csv; research/osint/executive_summary.md; research/database/decision_log.csv
CH-02,manuscript/chapters/02-methodology.tex,Methodology and Evidence Standards,"Define source hierarchy, verification status, confidence language, claim handling, and end-reference policy.",Prior analysis must remain a claim source only; official/primary records outrank later commentary; end references should carry citations while prose uses evidence IDs where needed.,decision log; verification workflow; source transparency policy; Mission 2-4 summaries,Evidence hierarchy; verification status definitions; confidence scale,Research workflow diagram optional,Final house style for visible evidence IDs in prose,High,documentation/workflows/VERIFICATION_WORKFLOW.md; documentation/governance/SOURCE_TRANSPARENCY_POLICY.md; research/database/decision_log.csv; research/verification/verification_matrix.csv
CH-03,manuscript/chapters/03-case-chronology.tex,Case Chronology,Present the conservative master chronology with uncertainty and source mapping preserved.,"24 admitted events; 11 verified; 11 partially verified; major gaps include final movements, ticket purchaser identity, exact death time, and Rubaiyat/suitcase recovery sequence.",chronology master; chronology uncertainties; event-source map; verification matrix,timeline_ready_for_latex.tex; chronology uncertainty table,"Map of Somerton Beach, Adelaide Railway Station, Henley Beach and Glenelg only after coordinates/source rights are settled",Exact movements between Adelaide transport evidence and beach sightings; date/time of Tamam Shud slip discovery,High for discovery events; Moderate for pre-discovery movements,research/chronology/chronology_master.csv; research/chronology/chronology_uncertainties.csv; research/chronology/event_source_map.csv; manuscript/tables/timeline_ready_for_latex.tex
CH-04,manuscript/chapters/04-identity-biography.tex,Identity and Biographical Reconstruction,Separate verified unidentified-decedent evidence from conditional Webb attribution and biographical leads.,"Primary archive supports the unknown man's physical identifiers and possessions; Mission 11 upgrades Webb to a strong researcher/lab lead, not official closure.",victim profile; movement reconstruction; possession inventory; forensic identifiers; OSINT Webb/DNA findings,Movement reconstruction; possession inventory; forensic identifiers; conditional Webb evidence table,"Death mask/bust, fingerprint chart, tooth chart, Webb/family photographs only if rights and source status are resolved",Official coroner/SAPOL identity finding; DNA lab report; full Webb civil/court records; body-hair/remains match,High for physical identifiers; Moderate for Webb attribution; Unknown for official identification,research/victimology/victim_profile.md; research/victimology/movement_reconstruction.csv; research/victimology/possession_inventory.csv; research/forensic_medical/forensic_identifiers_register.csv; research/osint/newly_identified_evidence.csv
CH-05,manuscript/chapters/05-scene-forensics.tex,"Scene, Body, and Physical Evidence","Describe scene observations, physical exhibits, clothing, suitcase material, and chain-of-custody limits.",Body/property existence layer is strong; custody trail is fragmentary for most objects; no item currently has complete custody confidence.,physical evidence catalogue; scene reconstruction database; chain-of-custody confidence matrix; exhibit index; document page index,physical_evidence_catalogue_ready_for_latex.tex; scene_reconstruction_ready_for_latex.tex; chain_of_custody_ready_for_latex.tex; exhibit index table,Scene map; body/property photographs; suitcase photographs; clothing images only after rights and quality review,Current custodian of many exhibits; full suitcase inventory; sand/vegetation/fibre preservation; cigarette collection/examination,Moderate-High for object existence; Low-Moderate for custody continuity,research/physical_evidence/physical_evidence_catalogue.csv; research/physical_evidence/scene_reconstruction_database.csv; research/physical_evidence/chain_of_custody_confidence_matrix.csv; research/indexes/exhibit_index.csv
CH-06,manuscript/chapters/06-toxicology.tex,Forensic Medical and Toxicology Assessment,"Present documented medical observations, toxicology testimony, time-of-death statements, and unresolved cause-of-death issues.",No common poison was detected in submitted specimens; this does not prove no poison was present; exact cause of death remains undetermined in the acquired record.,medical transcriptions; medical observation register; toxicology register; time-of-death register; medical uncertainties,medical_observations_ready_for_latex.tex; toxicology_ready_for_latex.tex; time-of-death table; medical uncertainty table,None required unless autopsy diagrams or medical exhibits become rights-cleared,Complete lab report; exact Hicks terminology; retained sample status; alcohol testing status; modern forensic review,High for recorded observations; Moderate for toxicology limitations; Unknown for cause,research/forensic_medical/medical_observation_register.csv; research/forensic_medical/toxicology_register.csv; research/forensic_medical/time_of_death_register.csv; research/forensic_medical/medical_uncertainties.csv
CH-07,manuscript/chapters/07-rubaiyat-cipher.tex,"Rubaiyat, Tamam Shud Slip, and Cipher Material","Handle the book, slip, markings/code, phone-number lead, Boxall/Jestyn material, and interpretation limits.",The slip/book/code cluster is central documentary evidence but its meaning remains unresolved; contemporary reporting strengthens chronology but not espionage interpretation.,evidence register; physical evidence catalogue; OSINT Trove findings; witness/exhibit index; verification matrix,Rubaiyat evidence chronology; documentary-custody table; code-interpretation status table,Tamam Shud slip image; Rubaiyat code image; book comparison image only from rights-cleared sources,Original book custody; paper/print comparison records; phone-number police notes; high-resolution image provenance; accepted cryptanalytic result absent,High for existence of artefact cluster; Low for interpretation,research/database/evidence_register.csv; research/physical_evidence/physical_evidence_catalogue.csv; research/osint/newly_identified_evidence.csv; research/indexes/exhibit_index.csv
CH-08,manuscript/chapters/08-social-network.tex,"Witnesses, Contacts, and Social Network","Present witness evidence, contact leads, relationship map, and reliability constraints without assigning motive.","Witnesses support discovery and some evening sightings, but identity continuity and memory limits are material; Thomson/Boxall/Webb relationship claims require careful source separation.",witness index; cross-reference map; relationship map; person register; transcription queue,witness_index_ready_for_latex.tex; witness reliability table; relationship map table,Network diagram optional; no family/person photographs until rights-cleared and evidentiary relevance is established,Manual transcription of priority pages; original police statements; Thomson interview notes; full Boxall/Jestyn source trail,Moderate,research/indexes/witness_index.csv; research/indexes/cross_reference_map.csv; research/victimology/relationship_map.csv; research/database/person_register.csv
CH-09,manuscript/chapters/09-historical-context.tex,Historical and Institutional Context,"Explain late-1940s policing, transport, identity systems, forensic capability, media environment, and Cold War setting as context only.",Cold War and Woomera/ASIO context are historically real but not direct case evidence; pre-digital identity and forensic limitations explain uncertainty without proving clandestine activity.,downloaded Mission 10 contextual report; source register; Mission 11 current-status layer; bibliography,Context relevance table; capability-vs-case-linkage table,Institutional timeline optional,Mission 10 context/ACH outputs need to be converted into project CSV/MD registers before final drafting,High for broad context; Low for direct case linkage,/Users/mohnish/Downloads/deep-research-report.md; research/database/source_register.csv; research/osint/source_register_mission11.csv
CH-10,manuscript/chapters/10-intelligence-hypotheses.tex,Intelligence-Related Hypotheses,Assess intelligence-related hypotheses using structured analytic language and strict source-weighting.,Espionage remains historically possible but evidentially weak; no acquired case-specific intelligence-service linkage has been found.,hypothesis register; analytical confidence register; Mission 10 report; OSINT conflicts/gaps; verification corrections,Intelligence hypothesis evidence table; source reliability and diagnosticity table,None required,No project-native ACH/intelligence register files; ASIO/MI5/other archive search logs not complete,Very Low for direct intelligence involvement; High for contextual plausibility,research/database/hypothesis_register.csv; research/verification/analytical_confidence_register.csv; research/osint/intelligence_gaps_mission11.csv; /Users/mohnish/Downloads/deep-research-report.md
CH-11,manuscript/chapters/11-alternative-models.tex,Alternative Explanatory Models,"Compare natural death, accidental poisoning, suicide, homicide, espionage, and unknown/undetermined using ACH-style evidence tables.","Unknown/undetermined best preserves the current evidence posture; poisoning, suicide, homicide and espionage remain possible but under-evidenced at different points.",verification matrix; hypothesis register; analytical confidence register; medical/physical/victimology layers; Mission 10 report,ACH table; key assumptions check; indicators and signposts; evidence-weight matrix,Argument map optional,Structured analytic registers should be generated from Mission 10 background before final prose,Moderate for undetermined posture; Low for specific explanatory models,research/verification/verification_matrix.csv; research/database/hypothesis_register.csv; research/forensic_medical/forensic_medical_summary.md; research/physical_evidence/physical_evidence_summary.md; /Users/mohnish/Downloads/deep-research-report.md
CH-12,manuscript/chapters/12-findings-unknowns.tex,"Findings, Unknowns, and Future Research","Close with established facts, supported inferences, working hypotheses, speculation exclusions, and prioritized intelligence requirements.","The dossier should publish as a versioned research project with explicit gaps, corrigible findings, and future acquisition targets.",intelligence gaps; research questions; OSINT gaps; physical/medical uncertainties; release strategy,Priority intelligence requirements; excluded/downgraded claims; future acquisition plan,None required,Final readiness depends on integrating Mission 10 structured registers and completing references,High for gap register; Moderate for research prioritization,research/database/intelligence_gap_register.csv; research/database/research_question_register.csv; research/osint/intelligence_gaps_mission11.csv; research/physical_evidence/physical_evidence_uncertainties.csv; documentation/release_strategy.md
