Gap Matrix ID,Gap Area,Representative IDs,Current Status,Evidence Required,Priority,Chapter Location
GM11-001,Official identity status,"IR-001; IG-002; M11-IG-0001",Researcher/lab attribution exists; official custodial closure missing.,"Coroner, SAPOL, or FSSA determination.",Critical,Section 11.2 and tables
GM11-002,Underlying DNA documentation,"M11-IG-0002; IG-002",Underlying laboratory report chain of custody and methodology missing.,"Technical report, chain of custody, match methodology, and official forensic report.",Critical,Sections 11.2 and 11.8
GM11-003,Cause and toxicology,"IR-002; IG-001; IG-008; MU-0001; MU-0002; MU-0003",Cause and toxic-agent question unresolved.,"Full autopsy file, toxicology report, laboratory notes, and expert re-review.",Critical,Section 11.3
GM11-004,Time and place of death,"IR-003; CU-0005-CU-0010; MU-0004-MU-0006",Witness continuity and medical timing limits remain unresolved.,"Witness transcripts, scene reports, photographs, and pathology review.",High,Sections 11.4 and 11.8
GM11-005,Suitcase association and custody,"IR-004; IG-005; PEU-0002",Suitcase associated with investigation but depositor and full custody unresolved.,"Cloakroom records, exhibit chain, property notes, and police notebooks.",High,Section 11.5
GM11-006,Tamam Shud slip custody,"IG-003; PEU-0001",Exact discovery timing, finder, and current original-slip custody unresolved.,"Official inquest pages, police property notes, and exhibit custody records.",Critical,Section 11.5
GM11-007,Rubaiyat provenance,"IR-005; IG-004; PEU-0010; M11-IG-0004",Associated book provenance and current status unresolved.,"Police file, exhibit photographs, forensic paper comparison records, and archive correspondence.",Critical,Sections 11.5 and 11.8
GM11-008,Clothing and labels,"IG-006; PEU-0003",Label absence/removal documented more strongly than actor timing or intent.,"High-resolution garment photographs, textile report, and property inventory.",High,Section 11.5
GM11-009,Witness statement completeness,"IG-007; CU-0004-CU-0008",Chronology depends on witness identity and observation limits.,"Original witness statements and page-level transcript review.",High,Section 11.4
GM11-010,Body and suitcase photographs,"PEU-0006; PEU-0007",Exhibit photographs not preserved locally.,"Archive or police photo collection inquiry.",High,Section 11.5
GM11-011,Biological sample retention,"PEU-0008; MU-0009",Cowan specimens received in 1948; retention or disposal not acquired.,"Government analyst, coroner, SAPOL, or FSSA holdings search.",Critical,Sections 11.3 and 11.5
GM11-012,Security-service linkage,"IR-007; IG-012; M11-IG-0007",Historical security context exists but direct case linkage absent.,"Documented NAA, ASIO, UK, and US archive searches; named file or operational record.",High,Section 11.6
GM11-013,Writing/code interpretation,"IR-006; IG-011; M11-IG-0007",Writing exists; meaning unresolved.,"High-quality images, indentation analysis, and peer-reviewed or official cryptanalytic review.",Medium,Sections 11.6 and 11.8
GM11-014,Source reliability limits,"SRM-001-SRM-006",Lower-quality sources cannot close primary-source gaps.,"Original official records or high-quality reproductions.",Cross-cutting,Section 11.8
