toxicology_id,substance_or_class,mentioned_by,document_id,page_reference,evidence_for_consideration,evidence_against,testing_performed,testing_limitation,whether_detected,whether_excluded,current_status
TOX-0001,Common poisons,Robert James Cowan,DOC-0001,p.47,"Specimens of stomach contents, liver/muscle, urine and blood were analyzed.",No signs of common poison found.,Analyses of submitted specimens.,Exact analytical methods and full panel unknown.,No,No; only common poisons in submitted specimens not detected.,Not detected
TOX-0002,Cyanides,Robert James Cowan; John Burton Cleland,DOC-0001,"pp.47,85",Cowan listed cyanides among common poisons; Cleland discussed rapidity/no smell/no bottle.,Negative common-poison analysis; Cleland said cyanide would be very quick and no bottle/smell noted.,Cowan common-poison analysis.,No specific cyanide method recorded in acquired text.,No,Not categorically excluded beyond Cowan testimony.,Not detected
TOX-0003,Alkaloids,Robert James Cowan; John Burton Cleland,DOC-0001,"pp.47,85",Cowan listed alkaloids among common poisons; Cleland said some alkaloids may not be detectable.,Cowan found no common poison.,Cowan common-poison analysis.,Specific alkaloids and methods not listed.,No,No; class remains broad.,Not detected
TOX-0004,Barbiturates,John Matthew Dwyer; Robert James Cowan; John Burton Cleland; Cedric Stanton Hicks,DOC-0001,"pp.39-41,47,85,95",Dwyer initially suggested barbiturate/soluble hypnotic; other witnesses discussed detectability and timing.,Cowan found none; Hicks/Cleland considered timing and pathology problematic.,Cowan common-poison analysis included barbiturates.,Decomposition/non-detection debated; no laboratory detail.,No,"Not completely excluded by all witnesses, but not detected and considered unlikely by Hicks/Cowan.",Considered but unproven
TOX-0005,Soluble hypnotic,John Matthew Dwyer,DOC-0001,p.39,Dwyer said his report suggested a barbiturate or soluble hypnotic.,No supporting detection; Cowan negative.,Cowan common-poison analysis.,Class not defined in extracted testimony.,No,No.,Suggested by witness
TOX-0006,Carbolic acid,Robert James Cowan,DOC-0001,p.47,Listed among common poisons.,No signs of any common poison found.,Cowan common-poison analysis.,Specific test not recorded.,No,Not detected in submitted specimens.,Not detected
TOX-0007,Morphine,Cedric Stanton Hicks,DOC-0001,p.95,Hicks discussed a dose sufficient to kill within the timing window.,Hicks said such a dose would have been detectable/measurable.,No specific morphine test details in acquired text.,Chemical name OCR around passage distorted but morphine is readable.,No,Considered unlikely by Hicks.,Ruled unlikely
TOX-0008,Insulin,John Matthew Dwyer; John Burton Cleland; Cedric Stanton Hicks,DOC-0001,"pp.43,87,101",Witnesses considered insulin/injection possibilities.,Dwyer and Hicks referenced liver/diabetic findings against it; Cleland noted blood sugar might have helped if suspected.,No insulin-specific test documented.,No retained sample/lab method documented; injection mark could be missed.,No,Not conclusively excluded by testing; medically discounted in testimony.,Ruled unlikely
TOX-0009,Diphtheria toxin,John Matthew Dwyer,DOC-0001,p.43,Dwyer said access to diphtheria toxin could be a possible but very unusual explanation.,Requires access to manufacturing context; no detection or corroboration.,None documented.,No test recorded.,No,No.,Suggested by witness
TOX-0010,Botulism toxin,John Matthew Dwyer,DOC-0001,p.43,Dwyer considered botulism but noted timing/incubation difficulty.,Timing made it unlikely in his testimony.,None documented.,No test recorded.,No,Considered unlikely by Dwyer.,Ruled unlikely
TOX-0011,Nicotine,John Matthew Dwyer,DOC-0001,p.43,Dwyer said nicotine poisoning entered his mind.,Cowan said none was found according to Dwyer testimony.,Cowan analysis as referenced by Dwyer.,Specific nicotine method not recorded.,No,Not detected per testimony.,Not detected
TOX-0012,Aconite/aconitine class,John Matthew Dwyer,DOC-0001,p.43,Dwyer mentioned possibilities around aconite with isolation difficulties.,No detection or direct evidence.,None documented in acquired text.,OCR damaged; exact name requires confirmation.,No,No.,Considered but unproven
TOX-0013,Curare/tubarine,John Matthew Dwyer; John Burton Cleland,DOC-0001,"pp.43,85",Dwyer considered curare-like injection/asphyxia; Cleland discussed tubarine/curare.,Dwyer saw no injection evidence and did not think findings supported it.,No test documented.,Injection route and detection limitations unresolved.,No,No.,Considered but unproven
TOX-0014,Unspecified cardiac glycoside/drug group,Cedric Stanton Hicks; coroner remarks,DOC-0001,"pp.9,95-99",Hicks suspected an unnamed group causing heart to stop in systole; coroner later used probable glucoside language.,Specific agent not detected; group/member names obscured in transcript.,No specific test documented.,Names and methods unavailable in current OCR; official transcript/visual transcription needed.,No,No; only considered/suggested.,Suggested by witness
