fact_id,paragraph_id,statement,supporting_sources,source_type,confidence,notes
WFC07-001,CH07-P002,"Witness index contains 18 indexed witnesses/declarants; all are inquest testimony.","research/indexes/witness_index.csv; research/indexes/mission_6_summary.md","Project witness index","High","CSV row count and statement_type field."
WFC07-002,CH07-P006,"WIT-0001 is unnamed in OCR, saw man near steps evening 30 Nov, communicated with Moss after seeing body next morning, maps to CHR-0006/CHR-0009 and EV-0014/EV-0005.","research/indexes/witness_index.csv; research/indexes/cross_reference_map.csv","Witness index/cross-reference map","Moderate","Name requires visual confirmation."
WFC07-003,CH07-P007,"WIT-0001 cannot be used as settled facial identification.","research/indexes/witness_index.csv","Witness reliability issue","Moderate","Register notes identity continuity limitation."
WFC07-004,CH07-P008,"Strapps and Neill reported evening observation around 7:20/7:30 p.m. with no movement and concern about the person.","research/indexes/witness_index.csv; research/chronology/chronology_master.csv","Witness index/chronology","Moderate","WIT-0006; WIT-0009; CHR-0007."
WFC07-005,CH07-P010,"Moss described first police attendance, body position, cigarette, no visible violence, transport, and initial property search.","research/indexes/witness_index.csv; research/indexes/cross_reference_map.csv","Witness index/cross-reference map","High","WIT-0002."
WFC07-006,CH07-P012,"Leane described identification inquiries, property, suitcase recovery, contents, tags, weather, circulation, and exhibit custody.","research/indexes/witness_index.csv","Witness index","Moderate","Long OCR requires transcription."
WFC07-007,CH07-P014,"Durham photographed body, fingerprinted deceased, circulated materials, and photographed paper found on deceased.","research/indexes/witness_index.csv; research/forensic_medical/forensic_identifiers_register.csv","Witness index/forensic identifier register","High","WIT-0012."
WFC07-008,CH07-P015,"Brown compared clothing, noted sand, received Tamam Shud slip from Leane, and made Rubaiyat inquiries.","research/indexes/witness_index.csv; research/physical_evidence/physical_evidence_catalogue.csv","Witness index/physical catalogue","Moderate","WIT-0014."
WFC07-009,CH07-P016,"Dwyer described postmortem examination at 7:30 a.m. on 2 Dec 1948 and medical observations/opinion.","research/indexes/witness_index.csv; research/forensic_medical/medical_observation_register.csv","Witness index/medical register","High","OCR check required."
WFC07-010,CH07-P017,"Cowan received stomach contents, liver/muscle, urine and blood on 2 Dec 1948 and tested for common poisons without detecting any.","research/indexes/witness_index.csv; research/forensic_medical/toxicology_register.csv; research/chronology/chronology_master.csv","Witness index/toxicology/chronology","High","Scope limited to common poisons/submitted specimens."
WFC07-011,CH07-P018,"Cleland gave medical and physical-evidence comparison testimony; observation, comparison, and opinion must be separated.","research/indexes/witness_index.csv","Witness index","Moderate","WIT-0016."
WFC07-012,CH07-P019,"Hicks reviewed medical facts and discussed possible poison groups and timing difficulty; testimony must not identify a poison.","research/indexes/witness_index.csv; research/forensic_medical/toxicology_register.csv","Witness index/toxicology register","Low","Expert review, not direct observation."
WFC07-013,CH07-P020,"Bennett examined body about 9:40 a.m. on 1 Dec and estimated death could have occurred up to eight hours earlier.","research/indexes/witness_index.csv; research/chronology/chronology_master.csv; research/forensic_medical/time_of_death_register.csv","Witness index/chronology/TOD register","Moderate","Estimate only."
WFC07-014,CH07-P021,"Hall identified bus-ticket issue context; no holder or route-use identity established.","research/indexes/witness_index.csv; research/chronology/chronology_master.csv","Witness index/chronology","High","WIT-0003."
WFC07-015,CH07-P022,"Holdernesse had no independent recollection apart from records/log and Hall statement.","research/indexes/witness_index.csv","Witness index","Low","WIT-0004."
WFC07-016,CH07-P023,"North produced luggage-ticket/suitcase evidence but did not issue ticket; actual issuer absent.","research/indexes/witness_index.csv; research/physical_evidence/physical_evidence_catalogue.csv","Witness index/physical catalogue","Moderate","WIT-0010."
WFC07-017,CH07-P024,"West gave railway timetable context; this does not prove deceased travelled on any train.","research/indexes/witness_index.csv; research/chronology/chronology_master.csv","Witness index/chronology","Moderate","WIT-0013."
WFC07-018,CH07-P025,"Townsend gave Henley Beach ticket issue window and could not remember purchaser or exact issue time.","research/indexes/witness_index.csv; research/chronology/chronology_master.csv","Witness index/chronology","High","WIT-0015."
WFC07-019,CH07-P026,"Lawson described making mould/cast on 7 Jun 1949; assumptions about body/feet are separated from direct creation.","research/indexes/witness_index.csv; research/forensic_medical/forensic_identifiers_register.csv","Witness index/forensic identifier register","Moderate","WIT-0005."
WFC07-020,CH07-P027,"Authorized witness index contains original inquest witnesses only and no modern researcher/genealogist witness entries.","research/indexes/witness_index.csv; research/osint/mission_11_osint_expansion.md","Witness index/source boundary","High","Later contributors excluded from this chapter."
WFC07-021,CH07-P034,"Reliability class counts are 6 strong, 10 moderate, 2 weak/limited, 0 contradicted as false, and 0 unknown.","manuscript/chapter_reviews/chapter07_reliability_matrix.csv","Chapter reliability matrix","High","Derived matrix."
WFC07-022,CH07-P039,"Mission 6 indexed 55 transcription queue entries and noted OCR problems affecting names, exhibit numbers, medical terms, chemical terms, and property details.","research/indexes/mission_6_summary.md; research/indexes/transcription_queue.csv","Mission summary/transcription queue","High","Chapter limitation."
WFC07-023,CH07-P041,"Medical/scientific testimony retains scope limits: Cowan common-poison testing, Hicks possible poison groups, Bennett estimate, Cleland observation/opinion split.","research/indexes/witness_index.csv; research/forensic_medical/forensic_medical_summary.md","Witness index/medical summary","High","No cause-of-death conclusion."
