transcription_id,document_id,page_number,witness_source,ocr_status,transcription_confidence,relevant_medical_topic,notes
MTX-0001,DOC-0001,5,Thomas Erskine Cleland / coroner remarks,Extractable OCR with minor errors,High,body discovery; Bennett time-of-death; body position; property; Tamam Shud slip,Targeted transcription only; not a full diplomatic transcript.
MTX-0002,DOC-0001,7,Thomas Erskine Cleland / coroner remarks,Extractable OCR with minor errors,High,postmortem summary; common-poison analysis; non-natural death language,Coroner summary contains legal/medical conclusion language; register preserves it as coroner wording.
MTX-0003,DOC-0001,9,Thomas Erskine Cleland / coroner remarks,Extractable OCR with minor errors,High,cause-of-death uncertainty; poison speculation; place of death uncertainty,Important distinction: coroner says evidence too inconclusive for final finding.
MTX-0004,DOC-0001,27,Paul Francis Lawson,Extractable OCR with moderate errors,Moderate,death mask/cast; body condition; feet and nails observations,Some Lawson statements are explicitly assumptions and must not be treated as proved habits.
MTX-0005,DOC-0001,35,John Matthew Dwyer,Extractable OCR with medical term errors,High,postmortem start; external condition; rigor/lividity; dental observations; pupils; saliva,Visual page image rendered for check; exact dental notation deferred to DOC-0017.
MTX-0006,DOC-0001,37,John Matthew Dwyer,Extractable OCR with medical term errors,High,internal pathology; stomach; heart; lungs; spleen; final meal timing,Medical terms require official-copy confirmation before quotation.
MTX-0007,DOC-0001,39,John Matthew Dwyer,Extractable OCR with medical term errors and handwriting overlay,Moderate,blood in stomach; liver microscopy; heart failure opinion; barbiturate hypothesis; exhibits C.2/C.3,Handwritten/overstrike content is not fully transcribed.
MTX-0008,DOC-0001,41,John Matthew Dwyer,Extractable OCR with moderate errors,Moderate,barbiturate timing; dose discussion; last meal; dental plate,Poison names and dose values need manual confirmation before use.
MTX-0009,DOC-0001,43,John Matthew Dwyer,Extractable OCR with moderate errors,Moderate,blood in stomach; injection marks; abrasions; insulin; diphtheria toxin; botulism; nicotine; aconite,OCR is damaged around some poison names.
MTX-0010,DOC-0001,45,John Matthew Dwyer,Extractable OCR with moderate errors,Moderate,poison timing; prussic acid; sunburn distribution,"Sunburn testimony is medical observation, not movement proof."
MTX-0011,DOC-0001,47,Robert James Cowan,Extractable OCR with minor chemical term errors,High,specimens received; testing for common poisons; cyanides; alkaloids; barbiturates; carbolic acid,Central toxicology page.
MTX-0012,DOC-0001,49,Robert James Cowan,Extractable OCR with minor errors,High,negative poison findings; rare poison caveat; natural-cause opinion,Cowan's opinion conflicts in emphasis with Dwyer/Cleland/Hicks.
MTX-0013,DOC-0001,63,Patrick James Durham,Extractable OCR with name/date distortions,Moderate,body photographs; fingerprints; circulation of prints/photos; paper photograph,Date OCR reads 1943 but context/source indicates 1948; must visually confirm.
MTX-0014,DOC-0001,77,Raymond Lionel Leane recalled,Extractable OCR with minor errors,High,clothing exhibit; suitcase exhibit; bust exhibit; police custody order,Forensic custody reference.
MTX-0015,DOC-0001,79,John Burton Cleland,Extractable OCR with clothing term errors,Moderate,clothing/suitcase comparison; thread; fit; shoes/slippers,Mainly forensic association rather than medical pathology.
MTX-0016,DOC-0001,81,John Burton Cleland,Extractable OCR with moderate errors,Moderate,age estimate; cleanliness; shoes; fob pocket; tags; non-natural/poison opinion,Contains interpretive language that must be separated from direct observation.
MTX-0017,DOC-0001,83,John Burton Cleland,Extractable OCR with moderate errors,Moderate,natural-cause discussion; lividity; poison possibility; Cowan negative finding,Some wording blends medical opinion and scenario reconstruction.
MTX-0018,DOC-0001,85,John Burton Cleland,Extractable OCR with moderate errors,Moderate,barbiturates/alkaloids; uncommon poison reasoning; vomiting/cyanide/curare discussion,Do not convert possibility language into confirmed poison.
MTX-0019,DOC-0001,87,John Burton Cleland,Extractable OCR with moderate errors,Moderate,injection mark limits; circumcision/vaccination observations; insulin question,Includes non-medical pocket/money inference; not used as medical fact.
MTX-0020,DOC-0001,89,John Burton Cleland,Extractable OCR with minor errors,High,liver microscopy; insulin as possible suicide method in general,Short page; limited evidentiary value.
MTX-0021,DOC-0001,91,Cedric Stanton Hicks,Extractable OCR with minor errors,High,Hicks sworn; coroner reads Dwyer evidence; Bennett interposed,Introductory page.
MTX-0022,DOC-0001,93,John Barkly Bennett,Extractable OCR with moderate errors,High,9:40 a.m. examination; rigor-mortis basis; 2 a.m. earliest death estimate,Bennett calls examination cursory.
MTX-0023,DOC-0001,95,Cedric Stanton Hicks,Extractable OCR with chemical-name distortion,Moderate,not-natural opinion; barbiturate/morphine discussion; contracted heart; engorged organs; stomach blood,Specific group names partly obscured by exhibit handling/OCR.
MTX-0024,DOC-0001,97,Cedric Stanton Hicks,Extractable OCR with chemical-name distortion,Low,drug group causing systole; detection limitations; oral toxicity; vomiting caveat,Critical but damaged; manual visual transcription required before naming substances.
MTX-0025,DOC-0001,99,Cedric Stanton Hicks,Extractable OCR with moderate errors,Moderate,self-administration assumption; body relocation caveat; convulsions; sand disturbance limits,Important scenario caveat; not a homicide/suicide evaluation.
MTX-0026,DOC-0001,101,Cedric Stanton Hicks,Extractable OCR with handwriting/strike-through distortion,Low,convulsions; arm movement; insulin/diabetic coma exclusion; oral route,Needs manual transcription before quotation.
