custody_id,physical_evidence_id,item,creation_or_discovery,first_collector_or_observer,documented_handoffs,current_location,custody_status,confidence,custody_gaps,recommended_action
PECOC-0001,PE-0001,Body of unknown male found at Somerton Beach near seawall/opposite Somerton Crippled Children's Home.,Found about 7 a.m. on 1948-12-01; evening observations at 7 p.m. and about 7:30 p.m. on 1948-11-30.,John Moss / police; medical examination by Bennett; postmortem by Dwyer.,Beach to hospital to City Morgue is documented; later remains/burial/exhumation custody not fully reconstructed here.,Burial/exhumation status outside acquired primary detail.,Fragmentary,High for discovery and initial movement; Moderate for full preservation history.,"Exact body recovery log, burial/remains chain, and current official records.",Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0002,PE-0002,Partly smoked cigarette located between/right cheek and right lapel or on right collar area.,Observed at body location morning of 1948-12-01; evening witness said no cigarette in raised hand.,John Moss observed; unknown if collected.,Observation documented; physical recovery and later custody unknown.,Unknown.,Fragmentary,Moderate,Was it collected; was brand or saliva/fingerprint examined; relation to body cigarette packet?,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0003,PE-0003,"Clothing worn by deceased: coat, shoes, shirt, pullover, jockey underpants, singlet, socks, trousers and one tie.",On body at Somerton Beach.,John Moss; Raymond Leane; later Cleland examined.,Body search to inquest exhibit documented; current custody unknown.,Unknown.,Fragmentary,High for existence; Moderate for item-level details.,"Exact clothing list, garment measurements, present status, destruction/loss record.",Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0004,PE-0004,"Tie worn by deceased and two ties in suitcase, one bearing the name T. Keane.",Body tie on deceased; suitcase ties recovered from luggage.,Moss for body clothing; Leane for suitcase.,Documented in testimony; current custody unknown.,Unknown.,Fragmentary,Moderate,Which tie carried which name/mark; did any survive?,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0005,PE-0005,Shoes worn by deceased.,On body.,Moss / Leane; examined by Cleland and Lawson.,Documented through testimony; current custody unknown.,Unknown.,Fragmentary,High for existence and condition observations.,"Exact make, size, sole wear, photographs, survival status.",Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0006,PE-0006,Socks worn by deceased.,On body.,Moss / Leane; examined by Cleland.,Documented in clothing set; current custody unknown.,Unknown.,Fragmentary,Moderate,Exact sock type/condition; whether vegetation retained.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0007,PE-0007,Removed/missing tags or labels from clothing and suitcase articles.,Observed on body clothing and suitcase items.,Leane; Cleland.,Observation only; removed tags themselves not recovered.,Removed labels not located.,Fragmentary,Moderate,"Which labels were removed, when, by whom; whether any threads/remnants survive.",Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0008,PE-0008,Single uncancelled second-class Adelaide-to-Henley Beach railway ticket.,Found in clothing search on body.,John Moss; Douglas Townsend identified issue context.,Body search to inquest testimony documented; current physical custody unknown.,Unknown.,Fragmentary,High,Exact ticket serial; current status; purchaser unknown.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0009,PE-0009,"Municipal Tramways Trust bus ticket, 7d ticket tied to Holdernesse route/journal.",Found in clothing search on body.,John Moss; Edmund Leslie Hall; Arthur Holdernesse.,Body search to inquest testimony documented; current physical custody unknown.,Unknown.,Fragmentary,High,Exact serial; holder identity; boarding/alighting location.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0010,PE-0010,Army Club cigarette packet containing Kensitas cigarettes.,Found on body per Leane/Moss inventory.,John Moss; Raymond Leane.,Documented as body property; current custody unknown.,Unknown.,Fragmentary,Moderate,Was mismatch investigated; exact count; survival status.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0011,PE-0011,"Bryant and May matches box, about one quarter full per Leane OCR.",Found on body.,John Moss; Raymond Leane.,Documented as body property; current custody unknown.,Unknown.,Fragmentary,Moderate,Exact match count/condition; survival status.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
PECOC-0012,PE-0012,Two combs / metal comb reported in body property.,Found on body.,John Moss; Raymond Leane.,Documented as body property; current custody unknown.,Unknown.,Fragmentary,Moderate,Exact type/manufacturer; survival status.,Locate original custodian file or destruction/preservation record; update catalogue when verified.
