claim_id,category,claim_text,claim_type,source_origin,source_id,verification_status,confidence,priority,next_action,notes
PA2025-001,toxicology,"Dr. John Dwyer of Royal Adelaide Hospital was the lead pathologist in the original autopsy.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Locate autopsy and inquest records,"Extracted from attached prior assessment; not independently verified."
PA2025-002,toxicology,"The original findings included congested liver, spleen, brain, and kidneys.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Locate autopsy report,
PA2025-003,toxicology,"The stomach was full of blood and food and was interpreted as consistent with poisoning.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Locate autopsy and toxicology records,
PA2025-004,toxicology,"No visible injuries or trauma were observed.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Locate autopsy and scene records,
PA2025-005,toxicology,"No alcohol was detected.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Locate toxicology report,
PA2025-006,toxicology,"The 1948-1949 chemical screens checked blood, urine, and tissue for barbiturates, opiates, cyanide, carbon monoxide, and other toxins.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Locate toxicology methodology,
PA2025-007,toxicology,"The listed toxicology screens were negative.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Locate toxicology report,
PA2025-008,toxicology,"Digitalis was suspected as a possible poison and would have been nearly undetectable with 1940s methods.",analytical_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Check forensic toxicology literature and original remarks,
PA2025-009,toxicology,"Strophanthin was a possible poison, difficult to detect, and rare in Australia.",analytical_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Check toxicology literature and local availability,
PA2025-010,toxicology,"Aconitine, scopolamine, rare alkaloids, or exotic agents were possible causes.",hypothesis,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,medium,Assess against symptoms and detectability,
PA2025-011,toxicology,"No container, residue, or administration method was found.",factual_claim,internal_prior_assessment,INT-PA-2025-001,unverified,unknown,high,Check property and scene inventories,
