question_id,question,priority,status,related_evidence,related_people,related_sources,notes
Q-0001,"Who removed the clothing labels, if they were removed?","High","Unverified premise","EV-0004; EV-0005","PER-0001","SRC-0001; SRC-0005","First verify label-removal facts from primary inventory."
Q-0002,"Was poison conclusively ruled out by 1948-1949 testing?","Critical","Open","EV-0017","PER-0003; PER-0004","SRC-0001; SRC-0003; SRC-0004","Archive summary says common poisons were not detected; not same as ruling out all poison."
Q-0003,"Who owned the Rubaiyat copy associated with the torn slip?","Critical","Open","EV-0002","PER-0005; PER-0006; PER-0008","SRC-0001; SRC-0005; SRC-0018","Requires primary provenance and witness statements."
Q-0004,"Does the original Tamam Shud slip still exist?","Critical","Open","EV-0001","N/A","SRC-0001; SRC-0005","Needed for paper/fiber/ink analysis possibilities."
Q-0005,"What is the official SAPOL/FSSA position on Carl Charles Webb identification as of 2026-07-07?","Critical","Open","EV-0006; EV-0018","PER-0001; PER-0009; PER-0010; PER-0011","SRC-0011","Retrieve current police/forensic status."
Q-0006,"What complete property inventory was recorded for the brown suitcase?","High","Open","EV-0003","PER-0001","SRC-0001; SRC-0018","Inventory should become a child evidence table if available."
Q-0007,"What chain-of-custody records exist for the suitcase before reported destruction?","High","Open","EV-0003","N/A","SRC-0018; police records","Needed before discussing loss of evidence."
Q-0008,"What exact route did the deceased take from Adelaide Railway Station to Somerton?","Medium","Open","EV-0008; EV-0009","PER-0001","SRC-0001; SRC-0003","Ticket and public transport statements needed."
Q-0009,"What original photographs exist and who holds reproduction rights?","Medium","Open","EV-0005; EV-0007","PER-0001","SRC-0005; SRC-0003","Coordinate with image catalogue."
Q-0010,"What did the 1958 inquest add, if anything, to the 1949 record?","High","Open","N/A","PER-0002","SRC-0002","Access request required."
Q-0011,"What witness statements have disappeared or remain unavailable from police files?","High","Open","N/A","PER-0005","SRC-0003; SRC-0018","Need distinguish lost, restricted, and never-created records."
Q-0012,"Are any intelligence archive records directly linked to the Somerton case rather than only contextual?","Medium","Open","N/A","N/A","SRC-0015; SRC-0017","Do not infer linkage from Cold War context."
Q-0013,"What modern forensic tests were actually performed after the 2021 exhumation?","Critical","Open","EV-0018","PER-0013","SRC-0008; SRC-0009; SRC-0010; SRC-0011","Need reports or official summaries."
Q-0014,"What is the exact grave location and burial/exhumation/reinterment history?","Medium","Open","EV-0018","PER-0001","SRC-0008; SRC-0010","Retrieve cemetery and police records."
