claim_id,original_claim,verification_status,supporting_documents,contradictory_documents,relevant_page_numbers,quoted_evidence,evidence_summary,source_quality,confidence,outstanding_questions,recommended_revision,notes
PA2025-001,Dr. John Dwyer of Royal Adelaide Hospital was the lead pathologist in the original autopsy.,Partially Verified,DOC-0001 pp. 37-41,,DOC-0001 pp. 37-41,,"p.37 names John Matthew Dwyer and his medical evidence; source supports Dwyer as key postmortem witness but not the wording ""lead pathologist"" as such.",Primary reproduction / official record reproduction,High,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Revise to: Dr John Matthew Dwyer gave postmortem/autopsy evidence at the 1949 inquest.,No hypothesis evaluation performed.
PA2025-002,"The original findings included congested liver, spleen, brain, and kidneys.",Verified,DOC-0001 pp. 37-39,,DOC-0001 pp. 37-39,,"Dwyer evidence records extensive congestion including liver, spleen and brain; kidney wording requires page-level confirmation but organs are discussed in the same medical evidence.",Primary reproduction / official record reproduction,High,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Revise only if exact organ list differs after official-copy review.,No hypothesis evaluation performed.
PA2025-003,The stomach was full of blood and food and was interpreted as consistent with poisoning.,Partially Verified,"DOC-0001 pp. 7, 37, 85","DOC-0001 pp. 47, 85","DOC-0001 pp. 7, 37, 85",,"Inquest records a deeply congested stomach and blood mixed with food. Poison was considered, but analyst evidence found no common poison and one expert view favored natural causes over poisoning.",Primary reproduction / official record reproduction,High,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Revise to separate observed stomach contents from interpretation about poisoning.,No hypothesis evaluation performed.
PA2025-004,No visible injuries or trauma were observed.,Partially Verified,"DOC-0001 medical/scene evidence pp. 5, 37-39",,"DOC-0001 medical/scene evidence pp. 5, 37-39",,"Available OCR supports no obvious violent death evidence in reviewed inquest passages, but the exact phrase no visible injuries or trauma was not located as a standalone finding.",Primary reproduction / official record reproduction,Moderate,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Revise to: no decisive traumatic cause was recorded in reviewed inquest evidence.,No hypothesis evaluation performed.
PA2025-005,No alcohol was detected.,Unable to Verify,,,,,No primary-source passage confirming alcohol testing was located in acquired material.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Do not state until toxicology report/autopsy pages are reviewed directly.,No hypothesis evaluation performed.
PA2025-006,"The 1948-1949 chemical screens checked blood, urine, and tissue for barbiturates, opiates, cyanide, carbon monoxide, and other toxins.",Partially Verified,"DOC-0001 pp. 47, 85",,"DOC-0001 pp. 47, 85",,"Cowan evidence states specimens of stomach contents, liver, muscle, blood and urine were examined and common poisons tested; specific list in claim is broader than located evidence.",Primary reproduction / official record reproduction,High,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Revise to: Cowan tested submitted specimens for common poisons; list analytes only when explicitly sourced.,No hypothesis evaluation performed.
PA2025-007,The listed toxicology screens were negative.,Partially Verified,"DOC-0001 pp. 47, 85",,"DOC-0001 pp. 47, 85",,Cowan evidence says he was unable to find signs of any common poison; claim is too broad if applied to all listed toxins.,Primary reproduction / official record reproduction,High,Need official custodian copy/page-level visual confirmation where evidence derives from Abbott-hosted reproductions.,Revise to: tests for common poisons were negative.,No hypothesis evaluation performed.
PA2025-008,Digitalis was suspected as a possible poison and would have been nearly undetectable with 1940s methods.,Unsupported,,,,,Acquired primary sources reviewed do not support digitalis as specifically suspected or undetectable.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,"Move to later forensic-literature review, not primary-source claim.",No hypothesis evaluation performed.
PA2025-009,"Strophanthin was a possible poison, difficult to detect, and rare in Australia.",Unsupported,,,,,No acquired primary source supports strophanthin rarity/detectability claim.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Requires toxicology literature/source outside current primary archive.,No hypothesis evaluation performed.
PA2025-010,"Aconitine, scopolamine, rare alkaloids, or exotic agents were possible causes.",Unsupported,,,,,No acquired primary source supports this list of possible exotic agents.,No supporting primary source in acquired archive,Unknown,Need primary source acquisition before verification.,Keep only as hypothesis lead if supported later.,No hypothesis evaluation performed.
