fact_id,paragraph_id,statement,supporting_sources,source_type,confidence,notes
IFC08-001,CH08-P002,"The acquired 1949 inquest/victimology record treats the subject as the unknown man found at Somerton; Somerton Man and Tamam Shud man are project labels.","research/victimology/victim_profile.md; research/publication/controlled_vocabulary.csv","Victimology profile/controlled vocabulary","High","No legal identity asserted."
IFC08-002,CH08-P003,"Pre-death birth, family, residence, employment, education, military service, finances, and associates are not verified for the deceased in acquired primary records.","research/victimology/victim_profile.md; research/victimology/victimology_summary.md","Victimology profile/summary","High","Core gap."
IFC08-003,CH08-P004,"The Webb attribution is a serious researcher/lab-led identification lead, but no final coroner/SAPOL/FSSA report is acquired.","research/publication/identity_status_guidance.md; research/osint/executive_summary.md","Identity guidance/OSINT summary","High for status caveat","Required wording."
IFC08-004,CH08-P006,"Dwyer described the body as tallish, about 45 years, and in good physical condition; exact measurements are not precisely established in extracted pages.","research/victimology/victim_profile.md; research/forensic_medical/forensic_identifiers_register.csv","Victimology profile/forensic identifiers","Moderate","Physical description limitation."
IFC08-005,CH08-P007,"Hair is greying; eye colour is not established; cared-for nails/feet and scars/marks are observational identifiers only.","research/victimology/victim_profile.md; research/forensic_medical/forensic_identifiers_register.csv","Victimology profile/forensic identifiers","Moderate","No full body-description sheet."
IFC08-006,CH08-P008,"Dental chart exists and several teeth were missing, but exact notation needs specialist/manual transcription.","research/forensic_medical/forensic_identifiers_register.csv","Forensic identifier register","High for existence; Moderate for notation","FID-0001/FID-0002."
IFC08-007,CH08-P009,"Fingerprints were taken and circulated; chart reproduction exists, but original chart and full comparison logs are incomplete.","research/forensic_medical/forensic_identifiers_register.csv","Forensic identifier register","High for process; Moderate custody","FID-0003/FID-0004."
IFC08-008,CH08-P012,"Rail and bus tickets are high-confidence property records but do not identify purchaser/holder or complete route.","research/victimology/movement_reconstruction.csv; research/victimology/possession_inventory.csv","Movement and possession registers","High for records; unknown for holder","MOV-0001/MOV-0002."
IFC08-009,CH08-P019,"Movement reconstruction includes 11 records from ticket issue through postmortem and suitcase recovery.","research/victimology/movement_reconstruction.csv","Movement register","High","CSV row count."
IFC08-010,CH08-P020,"Relationship map contains 18 entries; 14 are official or witness contacts after death rather than personal relationships.","research/victimology/relationship_map.csv","Relationship map","High","Relationship class summary."
IFC08-011,CH08-P021,"No verified family, friend, employer, or pre-death associate relationship is established in acquired primary archive.","research/victimology/relationship_map.csv; research/victimology/victimology_summary.md","Relationship map/victimology summary","High","REL-0018."
IFC08-012,CH08-P022,"Jessica Thomson connection is partially verified/unable to verify and not sufficient to establish personal relationship with deceased; Robin Thomson is not established here.","research/victimology/relationship_map.csv; research/verification/verification_matrix.csv","Relationship map/verification matrix","Low-Moderate","REL-0016."
IFC08-013,CH08-P023,"Alf Boxall is a later Rubaiyat-related lead, not a verified direct relationship to the deceased.","research/victimology/relationship_map.csv; research/verification/verification_matrix.csv","Relationship map/verification matrix","Low","REL-0017."
IFC08-014,CH08-P026,"Historic identification attempts included fingerprints, photographs, dental charting, circulation, and inquiry, but acquired 1949 record remained unidentified.","research/victimology/victim_profile.md; research/forensic_medical/forensic_identifiers_register.csv","Victimology profile/forensic identifiers","High","Historic ID status."
IFC08-015,CH08-P027,"Mission 11 records Abbott's July 2022 Webb announcement, DNA from plaster-bust hairs, Astrea rootless-hair DNA account, and Fitzpatrick genealogy method.","research/osint/newly_identified_evidence.csv; research/osint/evidence_reliability_matrix.csv","OSINT findings/reliability matrix","Medium to Moderate-High","M11-FND-0003 to M11-FND-0005."
IFC08-016,CH08-P028,"Mission 11 records ABC civil-record details for Carl Webb and a 5 Oct 1951 Trove legal notice; use remains conditional on official identity confirmation.","research/osint/newly_identified_evidence.csv; research/publication/identity_status_guidance.md","OSINT findings/identity guidance","Medium; High for notice","M11-FND-0006/M11-FND-0007."
IFC08-017,CH08-P029,"ABC 6 July 2026 reporting says SAPOL had not yet presented findings to coroner; Mission 11 located no peer-reviewed public DNA paper or official coroner finding.","research/osint/executive_summary.md; research/osint/newly_identified_evidence.csv","OSINT current-status findings","High for reported status","M11-FND-0001/M11-FND-0016."
IFC08-018,CH08-P030,"Controlled identity wording is researcher/lab-led Carl Charles Webb attribution pending official coroner or South Australia Police determination.","research/publication/identity_status_guidance.md; research/publication/controlled_vocabulary.csv","Identity guidance/controlled vocabulary","High","Mandatory wording."
IFC08-019,CH08-P032,"Strongest victimology facts are post-discovery and source-mapped: unidentified male, property, tickets, witnesses, fingerprints, dental charting, photographs, death mask/bust, specimens.","research/victimology/victimology_summary.md; research/victimology/possession_inventory.csv","Victimology summary/possession register","High","Post-discovery layer."
IFC08-020,CH08-P035,"Largest unknowns include pre-death biography, official identity status, exact movements, personal relationships, residence, employment, finances, purpose at Somerton, and evening-sighting identity continuity.","research/victimology/victimology_summary.md; research/intelligence/intelligence_requirements.csv","Victimology summary/intelligence requirements","High","Gap synthesis."
