paragraph_id,chapter_section,lines,claim_summary,supporting_repository_assets,verification_status,confidence,notes
CH07-P001,Classification,4,"Chapter 7 is testimonial evidence assessment with confidence based on directness, page mapping, corroboration, observation limits, OCR quality, and scope.","documentation/authoring/manuscript_authoring_guide.md; research/indexes/witness_index.csv","Methodological boundary","High","No competing hypotheses."
CH07-P002,Witness Overview,8,"Witness index contains 18 indexed witnesses/declarants, all classified as inquest testimony, separated by category.","research/indexes/witness_index.csv; research/indexes/mission_6_summary.md","Verified from witness index","High","18 rows; all Inquest testimony."
CH07-P003,Witness Overview,10,"Testimony concentrates around 30 Nov, 1 Dec, June 1949, and later investigative actions such as suitcase recovery and identification circulation.","research/indexes/witness_index.csv; research/chronology/chronology_master.csv","Supported synthesis","High","Chronological grouping."
CH07-P004,Witness Overview,12,"Chapter distinguishes direct observation, record-based statements, expert opinion, and investigative synthesis.","research/indexes/witness_index.csv; documentation/authoring/editorial_style_guide.md","Methodological classification","High","Prevents category mixing."
CH07-P005,Witness Category Summary Table,14-30,"Table summarizes witness categories and counts.","research/indexes/witness_index.csv","Verified from witness roles","High","Chapter-level table."
CH07-P006,Discovery Witnesses,34,"WIT-0001 reported evening sighting and morning communication; name not legible in OCR; maps to CHR-0006/CHR-0009 and EV-0014/EV-0005.","research/indexes/witness_index.csv; research/indexes/cross_reference_map.csv; research/chronology/chronology_master.csv","Verified with OCR limitation","Moderate","WIT-0001."
CH07-P007,Discovery Witnesses,36,"WIT-0001 supports reported sighting but not settled identification because facial identification is not established.","research/indexes/witness_index.csv; research/chronology/chronology_uncertainties.csv","Reliability limitation","Moderate","Identity continuity caveat."
CH07-P008,Discovery Witnesses,38,"Strapps and Neill reported second evening observation around 7:20/7:30 p.m., no movement, and concern about condition.","research/indexes/witness_index.csv; research/chronology/chronology_master.csv","Verified from witness index","Moderate","WIT-0006; WIT-0009."
CH07-P009,Discovery Witnesses,40,"Strapps-Neill testimony corroborates CHR-0007 as observation but not identity of person seen.","research/indexes/witness_index.csv; research/chronology/chronology_uncertainties.csv","Reliability limitation","Moderate","No facial identification."
CH07-P010,Police Witnesses,44,"John Moss described scene attendance, body position, cigarette, lack of visible violence, transport, and initial property search.","research/indexes/witness_index.csv; research/indexes/cross_reference_map.csv","Verified from witness index","High","WIT-0002."
CH07-P011,Police Witnesses,46,"Moss is high value for early observations but exact search and transport sequence require confirmation; missing Tamam Shud slip in initial search is a search-sequence fact.","research/indexes/witness_index.csv; research/chronology/chronology_master.csv","Supported with limitation","High","WIT-0002; CHR-0011."
CH07-P012,Police Witnesses,48,"Leane described identification inquiries, property, suitcase recovery, contents, removed tags, weather, circulation, and exhibit custody.","research/indexes/witness_index.csv; research/indexes/cross_reference_map.csv","Verified from witness index","Moderate","WIT-0011."
CH07-P013,Police Witnesses,50,"Leane has high value for source-mapped police actions but OCR distortion and item-level claims require transcription control.","research/indexes/witness_index.csv; research/indexes/transcription_queue.csv","Reliability limitation","Moderate","Long OCR section."
CH07-P014,Police Witnesses,52,"Durham photographed and fingerprinted the deceased, circulated materials, and photographed the paper; original image set and circulation responses incomplete.","research/indexes/witness_index.csv; research/forensic_medical/forensic_identifiers_register.csv","Verified with preservation limitation","High","WIT-0012."
CH07-P015,Police Witnesses,54,"Brown compared clothing, noted sand, received Tamam Shud slip, and conducted Rubaiyat inquiries; associated book custody unresolved.","research/indexes/witness_index.csv; research/physical_evidence/physical_evidence_uncertainties.csv","Verified with custody limitation","Moderate","WIT-0014."
