observation_id,observation_category,description,witness_source,document_id,page_reference,exact_wording_or_concise_paraphrase,verification_status,confidence,notes
MED-0001,external body condition,"Tallish male, estimated about 45 years, greying hair and good physical condition.",John Matthew Dwyer,DOC-0001,p.35,Concise paraphrase of Dwyer external examination.,Partially Verified,High,"Age estimate is medical impression, not identity proof."
MED-0002,external body condition,Fingernails and feet appeared cared for; nails carefully trimmed.,John Matthew Dwyer,DOC-0001,p.35,Concise paraphrase.,Partially Verified,High,Do not infer occupation or social status.
MED-0003,injuries/trauma,No external markings of note recorded by Dwyer.,John Matthew Dwyer,DOC-0001,p.35,Concise paraphrase.,Partially Verified,High,Does not equal a complete trauma exclusion without full autopsy file.
MED-0004,lividity/rigor,Postmortem rigidity described as intense; deep lividity noted behind/above ears and neck.,John Matthew Dwyer,DOC-0001,p.35,Concise paraphrase.,Verified,High,Supports time/body-position discussion but not exact place of death.
MED-0005,anatomical identifiers,Several teeth were missing; Dwyer prepared a missing-teeth chart.,John Matthew Dwyer,DOC-0001,p.35; DOC-0017,Concise paraphrase.,Verified,High,Exact tooth notation remains visually unresolved.
MED-0006,external body condition,"Pupils were small, unusual/uneven in outline, and about the same size.",John Matthew Dwyer,DOC-0001,p.35,Concise paraphrase.,Partially Verified,Moderate,Dwyer cautioned drug association is broad and not distinguishing.
MED-0007,external body condition,Small patch of dried saliva was noted at the right of the mouth.,John Matthew Dwyer,DOC-0001,p.35,Concise paraphrase.,Verified,High,Interpretation of timing/ability to swallow remains opinion.
MED-0008,external body condition,Sand was in the hair but not in nostrils or mouth.,John Matthew Dwyer,DOC-0001,p.37,Concise paraphrase.,Verified,High,Useful for scene/body-position assessment later.
MED-0009,internal pathology,"Scalp, skull and brain were normal except small brain vessels were readily visible with congestion.",John Matthew Dwyer,DOC-0001,p.37,Concise paraphrase.,Verified,High,Coroner also summarized brain congestion at p.7.
MED-0010,internal pathology,Pharynx was congested; gullet showed superficial whitening and a patch of ulceration.,John Matthew Dwyer,DOC-0001,p.37,Concise paraphrase.,Verified,High,Exact mucosal description should be checked before quotation.
MED-0011,stomach contents,Stomach deeply congested with superficial redness and small submucosal haemorrhages.,John Matthew Dwyer,DOC-0001,p.37,Concise paraphrase.,Verified,High,Observed pathology; poison interpretation separate.
MED-0012,stomach contents,Blood was mixed with food in the stomach.,John Matthew Dwyer,DOC-0001,p.37; p.39; p.43,Concise paraphrase.,Verified,High,Dwyer said he considered it present before postmortem.
