event_id,period,date,time,date_precision,time_precision,location,event_description,related_people,related_evidence,related_claims,supporting_documents,page_references,verification_status,confidence,notes,uncertainty_flags
CHR-0002,30 November 1948,1948-11-30,06:15-14:00,Exact,Approximate,Adelaide Railway Station ticket box,Ticket clerk Douglas George Townsend was on duty and later stated that the Henley Beach ticket must have been issued during his shift.,Douglas George Townsend; unknown man,EV-0008,PA2025-019,DOC-0001,p.75,Verified,High,"The inquest evidence supports the shift window, not the purchaser identity.",Purchaser not remembered; exact purchase time unknown
CHR-0003,30 November 1948,1948-11-30,Unknown within 06:15-14:00,Exact,Unknown,Adelaide Railway Station ticket box,A second-class Adelaide-to-Henley Beach railway ticket associated with the body was issued.,Douglas George Townsend; unknown man,EV-0008,PA2025-019,DOC-0001,p.75,Verified,High,Townsend said he issued the ticket on 30 November and could not say what time.,Exact issue time unknown; purchaser not identified by witness
CHR-0004,30 November 1948,1948-11-30,11:15 a.m.,Exact,Approximate,Adelaide-Somerton bus route from Railway Station toward St Leonards,A bus ticket associated with the body was issued on the Adelaide-Somerton bus route departing the Railway Station at about 11:15 a.m.,Conductor Holdernesse; Edmund Leslie Hall; unknown man,EV-0009,PA2025-063; PA2025-066,DOC-0001,"pp.5,23",Verified,High,Hall identified the ticket by punch mark and serial number; the ticket does not identify the holder.,Holder not identified; exact boarding/alighting point uncertain
CHR-0005,30 November 1948,1948-11-30,Between bus arrival and 7:00 p.m.,Exact,Unknown,Somerton Beach area,The coroner recorded that no one came forward to say the man was seen at Somerton between arrival of the bus and 7:00 p.m.,Unknown man,N/A,PA2025-063,DOC-0001,p.7,Partially Verified,Moderate,"This is an absence-of-reporting statement within the inquest, not proof of absence.",Negative evidence; depends on witness canvass completeness
CHR-0006,30 November 1948,1948-11-30,7:00 p.m.,Exact,Witness-reported,"Somerton Beach, where body was later found","A man was reported lying where the body was later found, in a similar position, and was seen to raise his right arm before it fell limply.",Unknown man; unidentified witness or witnesses,EV-0014,PA2025-063; PA2025-042,DOC-0001,p.5,Verified,High,The coroner cautioned that the witnesses did not identify the face/body as the deceased.,Identity of man not proven; witness observation
CHR-0007,30 November 1948,1948-11-30,About 7:30 p.m.,Exact,Witness-reported,"Somerton Beach, where body was later found",A man and a girl saw the man in the same place; they did not see movement and one formed an impression that he was lying unnaturally.,Unknown man; unidentified man and girl witnesses,EV-0014,PA2025-063; PA2025-042,DOC-0001,p.5,Verified,High,The inquest records the observation but not a confirmed identity of the man seen.,Identity of man not proven; impression-based observation
CHR-0008,1 December 1948,1948-12-01,About 2:00 a.m.,Exact,Approximate,Unknown,Dr Bennett estimated death occurred around about 2:00 a.m.,Dr Bennett; unknown man,EV-0005,PA2025-064,DOC-0001,p.5,Partially Verified,Moderate,Time is a medical estimate reported in coroner remarks; place of death was not determined.,Estimated time; place of death unknown
CHR-0009,1 December 1948,1948-12-01,About 7:00 a.m.,Exact,Approximate,Somerton Beach,The body of an unknown man was found on the shore at Somerton.,Unknown man,EV-0005; EV-0014,PA2025-064,DOC-0001; DOC-0003,"DOC-0001 pp.5,7",Verified,Very High,Core chronology anchor; official custodian copy still recommended for final publication.,Exact first-discovery witness details require page-level witness statement index
CHR-0010,1 December 1948,1948-12-01,9:40 a.m.,Exact,Approximate,Somerton Beach / body location,Dr Bennett examined the body and formed the opinion that death had occurred about eight hours previously.,Dr Bennett; unknown man,EV-0005,PA2025-064,DOC-0001,p.5,Partially Verified,Moderate,Examination time appears in coroner remarks; exact examination location should be checked against full witness deposition.,Location needs page-level confirmation
CHR-0011,1 December 1948,1948-12-01,Unknown,Exact,Unknown,Body/clothing search; later City Mortuary,"A search of the clothing found a Henley Beach railway ticket, bus ticket, cigarettes, combs and chewing gum; the slip bearing Tamam Shud was not found in this initial search.",Unknown man; police witness,EV-0005; EV-0008; EV-0009; EV-0010; EV-0011; EV-0012; EV-0013,PA2025-011; PA2025-019; PA2025-043,DOC-0001,"pp.5,21",Partially Verified,High,Initial search inventory is supported; exact search time is not established in this chronology pass.,Exact search time unknown; slip found later
CHR-0012,1 December 1948,1948-12-01,Unknown,Exact,Unknown,City Mortuary,The body was taken to the City Mortuary.,Unknown man; police witness,EV-0005,PA2025-064,DOC-0001,p.21,Verified,High,Transport timing not specified in extracted passage.,Exact transfer time unknown
