event_id,date,time,location,description,related_people,related_evidence,related_sources,confidence,notes
EVENT-0001,"1948-11-30","Evening; exact time pending","LOC-0001","Witnesses reportedly saw a man on Somerton Beach before body discovery.","PER-0001","EV-0014","SRC-0001; SRC-0003","Medium","Need original witness statements before treating details as verified."
EVENT-0002,"1948-12-01","Morning; exact time pending","LOC-0001","Body of an unknown man found on Somerton Beach.","PER-0001; PER-0016; PER-0017","EV-0005; EV-0014","SRC-0001; SRC-0003; SRC-0022","High","Exact discovery time and first responders require primary file review."
EVENT-0003,"1948-11-30","Daytime; exact time pending","LOC-0002","Deceased reportedly purchased train and bus tickets before reaching beach area.","PER-0001","EV-0008; EV-0009","SRC-0001; SRC-0003","Medium","State Records summary supports ticket evidence but exact sequence pending."
EVENT-0004,"1948-12-02","07:30 reported in secondary source index; verify","LOC-0005","Postmortem examination reportedly performed by Dr John Dwyer.","PER-0001; PER-0003","EV-0017","SRC-0001; SRC-0003; SRC-0005","Medium","Confirm exact time/location from autopsy/inquest."
EVENT-0005,"1948-12-03","Unknown","Unknown","Early identification as E. C. Johnson reportedly corrected when Johnson appeared alive.","PER-0018","N/A","SRC-0021","Low","Bibliographic lead only until exact Trove source retrieved."
EVENT-0006,"1949-01, exact date pending","Unknown","LOC-0002","Brown suitcase reportedly located in Adelaide Railway Station cloak room.","PER-0001","EV-0003","SRC-0001; SRC-0003; SRC-0018","Medium","Primary police/inquest records needed."
EVENT-0007,"1949, exact date pending","Unknown","Unknown","Tamam Shud slip reportedly found in concealed trouser pocket.","PER-0001","EV-0001","SRC-0001; SRC-0003; SRC-0023","Medium","Exact date and finder require primary review."
EVENT-0008,"1949-06-17","Daytime","Coroner's Court, Adelaide; exact venue pending","1949 inquest opened; The News reported coroner, Dwyer, Cowan, Leane evidence and public appeal.","PER-0002; PER-0003; PER-0004; PER-0005; PER-0019","EV-0007; EV-0017","SRC-0001; SRC-0004","High for occurrence; medium for details","Newspaper is not transcript; compare against SRC-0001."
EVENT-0009,"1949-06-21","Unknown","Coroner's Court, Adelaide; exact venue pending","Second identified sitting/date of 1949 inquest file.","PER-0002","N/A","SRC-0001","High for date in archival citation","Review file for findings."
EVENT-0010,"1949, exact date pending","Unknown","LOC-0006","Unknown man buried at West Terrace Cemetery according to source trails.","PER-0001","N/A","SRC-0008; SRC-0018","Low","Need burial/death certificate and cemetery record."
EVENT-0011,"1949, exact date pending","Unknown","LOC-0004","Rubaiyat copy reportedly provided to police after appeal.","PER-0005","EV-0002","SRC-0005; SRC-0018","Low","Primary record required; recovery stories conflict in secondary literature."
EVENT-0012,"1949, exact date pending","Unknown","Unknown","Phone number/other markings in Rubaiyat reportedly connected investigators to Jessica Thomson and Alf Boxall.","PER-0006; PER-0008","EV-0002","SRC-0005; SRC-0018","Low","Do not assert until primary record reviewed."
EVENT-0013,"1958-03-14","Unknown","Unknown","Later inquest/proceeding recorded in State Records custody as GRG 1/27 File 53/1958.","PER-0002","N/A","SRC-0002; SRC-0003","High for record existence; content unknown","Restricted access; request required."
EVENT-0014,"1986","Unknown","Unknown","Brown suitcase and contents reportedly destroyed as no longer required.","Unknown","EV-0003","SRC-0018; SRC-0005","Low","Needs direct source/official destruction record."
EVENT-0015,"1994","Unknown","Unknown","John H. Phillips article/legal-medical analysis published according to source trails.","PER-0015","EV-0017","SRC-0019","Low","Retrieve article before cataloguing claims."
EVENT-0016,"1949-03-16","Unknown","Australia","ASIO established by prime ministerial directive.","N/A","N/A","SRC-0015","High","Context event only; no direct case connection established."
EVENT-0017,"2019-10, exact date pending","Unknown","South Australia","Attorney-General reportedly granted conditional approval to exhume body for DNA.","PER-0012","EV-0018","SRC-0008; SRC-0010","Medium","Need official authorization document."
EVENT-0018,"2021-05-19","Morning pending","LOC-0006","Somerton Man remains exhumed for modern forensic/DNA work according to source trails.","PER-0001; PER-0012; PER-0013","EV-0018","SRC-0008; SRC-0009; SRC-0010","Medium-high","Official SAPOL page needs retrieval/archiving."
EVENT-0019,"2022-07-26 to 2022-07-27","Unknown","LOC-0012; LOC-0008","Researchers announced Carl/Charles Webb identification; SAPOL statement reportedly responded cautiously.","PER-0001; PER-0009; PER-0010; PER-0011","EV-0006; EV-0018","SRC-0008; SRC-0011","Medium","Official verification status is critical gap."
EVENT-0020,"2026-07-07","N/A","Project workspace","Mission 2 evidence database created with source and evidence registers.","N/A","N/A","SRC-0024","High","Project methodology event."
