record_id,bib_key,source_group,title,author,year,publication_or_repository,url,access_date,archive_reference,document_type,duplicate_of,missing_required_fields,biblatex_status,reliability_or_note
SRC-0001,src-src-0001,SRC,Inquest into the Death of a Body Located at Somerton on 1.12.48,Thomas Erskine Cleland; City Coroner,1949,State Records of South Australia,https://archives.sa.gov.au/finding-information/discover-our-collection/stories-from-the-archive/but-what-poison-mystery-of-the-somerton-man,2026-07-07,State Records of South Australia; GRG 1/27 File 71/1949,Coronial inquest file,,None,Generated - pending biber validation,Source year present; High; official coronial record identified by archive
SRC-0002,src-src-0002,SRC,Later inquest file concerning Somerton body,Coroner's Court / State Records of South Australia,1958,State Records of South Australia,https://archives.sa.gov.au/finding-information/discover-our-collection/stories-from-the-archive/but-what-poison-mystery-of-the-somerton-man,2026-07-07,State Records of South Australia; GRG 1/27 File 53/1958,Coronial inquest file,,None,Generated - pending biber validation,Source year present; High for record existence; content not reviewed
SRC-0003,src-src-0003,SRC,'But what poison?' Mystery of the Somerton Man,State Records of South Australia,2015,State Records of South Australia,https://archives.sa.gov.au/finding-information/discover-our-collection/stories-from-the-archive/but-what-poison-mystery-of-the-somerton-man,2026-07-07,State Records of South Australia,Archive collection guide / institutional blog,,None,Generated - pending biber validation,Source year present; High for repository holdings; medium for case summary
SRC-0004,src-src-0004,SRC,Somerton body inquest,Unknown staff reporter,1949,The News (Adelaide) via Trove/NLA,https://trove.nla.gov.au/newspaper/article/130195091,2026-07-07,National Library of Australia Trove,Contemporary newspaper report,,None,Generated - pending biber validation,Source year present; Medium-high; contemporary report with OCR and page image available
SRC-0005,src-src-0005,SRC,Primary source material on the Taman Shud Case,Derek Abbott,2015,University of Adelaide personal wiki,https://www.eleceng.adelaide.edu.au/personal/dabbott/wiki/index.php/Primary_source_material_on_the_Taman_Shud_Case,2026-07-07,University of Adelaide personal web space,Source index / research portal,,None,Generated - pending biber validation,Source year present; Medium; useful locator but not itself official custody
SRC-0006,src-src-0006,SRC,SOMERTON MAN INTELLIGENCE DOSSIER - ANALYTICAL ADDENDUM,Agent Mohnish,2025,Local attached PDF,/tmp/codex-remote-attachments/019f3c2f-07c7-74a1-aa3e-caed00a1bdb2/DD898028-4D27-4AB0-98B7-D07BBFF4EF06/1-SOMERTON-MAN-INTELLIGENCE-DOSSIER.pdf,2026-07-07,Local attachment,Internal prior assessment,,None,Generated - pending biber validation,Source year present; Low as evidence; high as project prior-claim source
SRC-0007,src-src-0007,SRC,The 'Somerton Man' Clues and Codes,National Film and Sound Archive; Casefile True Crime Podcast excerpt,2016,NFSA Collection,https://www.nfsa.gov.au/collection/item/somerton-man-clues-and-codes,2026-07-07,National Film and Sound Archive of Australia,Podcast collection record,,None,Generated - pending biber validation,Source year present; Medium for collection metadata; low for primary evidence
SRC-0008,src-src-0008,SRC,Somerton Man to be exhumed by police in attempt to solve mystery,Daniel Keane,2021,ABC News,https://www.abc.net.au/news/2021-04-24/somerton-man-to-be-exhumed-by-police/100093696,2026-07-07,ABC Australia,News report,,None,Generated - pending biber validation,Source year present; Medium-high; reputable reporting but secondary
SRC-0009,src-src-0009,SRC,Somerton Man exhumation to be carried out in hope of solving decades-long mystery,ABC News,2021,ABC News,https://www.abc.net.au/news/2021-05-19/somerton-man-exhumation-to-be-carried-out/100147592,2026-07-07,ABC Australia,News report,,None,Generated - pending biber validation,Source year present; Medium-high; reputable reporting but secondary
SRC-0010,src-src-0010,SRC,Body of Somerton Man exhumed,South Australia Police,2021,SA Police News,https://www.police.sa.gov.au/sa-police-news-assets/front-page-news/body-of-somerton-man-exhumed,2026-07-07,South Australia Police,Police media release,,None,Generated - pending biber validation,Source year present; High if retrieved from official archive; current URL not confirmed
SRC-0011,src-src-0011,SRC,Statement regarding Somerton Man,South Australia Police,2022,SA Police News,https://www.police.sa.gov.au/sa-police-news-assets/front-page-news/statement-regarding-somerton-man,2026-07-07,South Australia Police,Police media statement,,None,Generated - pending biber validation,Source year present; High if retrieved from official archive; current URL not confirmed
SRC-0012,src-src-0012,SRC,The Enduring Mystery of the Somerton Man,Mike Dash,2011,Smithsonian Magazine,https://www.smithsonianmag.com/history/the-enduring-mystery-somerton-man-one-of-australias-most-puzzling-cold-cases-50795611/,2026-07-07,Smithsonian Magazine,Feature article,,None,Generated - pending biber validation,Source year present; Medium; reputable long-form reporting
SRC-0013,src-src-0013,SRC,The Somerton Man: An Unsolved History,Ruth Balint,2010,"Cultural Studies Review, Vol. 16 No. 2",https://doi.org/10.5130/csr.v16i2.1522,2026-07-07,Cultural Studies Review,Peer-reviewed/academic journal article,,None,Generated - pending biber validation,Source year present; Medium-high for cultural/historiographic analysis; not primary case evidence
SRC-0014,src-src-0014,SRC,On Some Possible New Relations in the Somerton Man or Tamam Shud Case,Rowan Holmes,2017,Global Histories Student Journal,https://www.globalhistories.com/index.php/GHSJ/article/download/121/65/708,2026-07-07,Global Histories Student Journal,Academic/student journal article,,None,Generated - pending biber validation,Source year present; Medium; academic venue but student journal
SRC-0015,src-src-0015,SRC,Australian Security Intelligence Organization establishment reference,National Archives of Australia,2005,NAA research guide: Near Neighbours,https://www.naa.gov.au/sites/default/files/2020-02/research-guide-near-neighbours.pdf,2026-07-07,National Archives of Australia,Government research guide,,None,Generated - pending biber validation,Source year present; High for institutional chronology
SRC-0016,src-src-0016,SRC,Commonwealth Government Records about South Australia,National Archives of Australia,2014,NAA research guide,https://www.naa.gov.au/sites/default/files/2020-02/research-guide-government-records-south-australia.pdf,2026-07-07,National Archives of Australia,Government research guide,,None,Generated - pending biber validation,Source year present; High for NAA holdings/context
SRC-0017,src-src-0017,SRC,"Royal Commission on Intelligence and Security, 1974-77",National Archives of Australia,2026,NAA collection guide,https://www.naa.gov.au/explore-collection/intelligence-and-security/history-australian-intelligence-and-security/royal-commission-intelligence-and-security-1974-77,2026-07-07,National Archives of Australia,Government archive guide,,None,Generated - pending biber validation,Source/publication year unavailable; access year used for BibLaTeX compatibility; High for holdings/context
SRC-0018,src-src-0018,SRC,The Unknown Man,Gerald Michael Feltus,2010,Self-published/book by former SAPOL detective,Unknown / obtain print copy,2026-07-07,Book publication,Book,,None,Generated - pending biber validation,Source year present; Potentially valuable due to author role; requires careful cross-checking
SRC-0019,src-src-0019,SRC,Phillips' brief / So When That Angel of the Darker Drink,John H. Phillips,1994,"Criminal Law Journal, Vol. 18",Unknown / legal database lookup required,2026-07-07,Criminal Law Journal,Journal article/legal-medical analysis,,None,Generated - pending biber validation,Source year present; Potentially medium-high; direct text not yet reviewed
SRC-0020,src-src-0020,SRC,Police Online Journal article: Mystery of the Somerton Man,D. Pyatt,2000,"Police Online Journal, Vol. 81 No. 4",Unknown / library lookup required,2026-07-07,Police Journal / Police Historical Society lead,Police historical article,,None,Generated - pending biber validation,Source year present; Unknown until retrieved
SRC-0021,src-src-0021,SRC,Body found on Beach,Unknown staff reporter,1948,The Advertiser (Adelaide) via Trove/NLA,https://trove.nla.gov.au/,2026-07-07,National Library of Australia Trove,Contemporary newspaper report,,None,Generated - pending biber validation,Source year present; Medium; contemporary but early and potentially mistaken
SRC-0022,src-src-0022,SRC,Dead Man Found Lying on Somerton Beach,Unknown staff reporter,1948,The News (Adelaide) via Trove/NLA,https://trove.nla.gov.au/,2026-07-07,National Library of Australia Trove,Contemporary newspaper report,,None,Generated - pending biber validation,Source year present; Medium; contemporary but early
SRC-0023,src-src-0023,SRC,Tamam Shud,Unknown staff reporter,1949,The Advertiser (Adelaide) via Trove/NLA,https://trove.nla.gov.au/,2026-07-07,National Library of Australia Trove,Contemporary newspaper report,,None,Generated - pending biber validation,Source year present; Medium; contemporary report
SRC-0024,src-src-0024,SRC,Statement of source priorities and register requirements from Mission 2 prompt,Mohnish,2026,Project instruction,N/A,2026-07-07,Local conversation,Project governance instruction,,None,Generated - pending biber validation,Source year present; High for project requirements; not evidence
M11-SRC-0001,m11-m11-src-0001,M11,SA Police report to coroner into Somerton Man case complete 'very soon',Ethan Rix,2026,ABC News,https://www.abc.net.au/news/2026-07-06/sa-police-report-coroner-into-somerton-man-case-very-soon/106869302,2026-07-08,ABC,Current reporting / official-process update,,None,Generated - pending biber validation,Source year present; High for current official-process status; medium for Abbott's account of expected timing
M11-SRC-0002,m11-m11-src-0002,M11,"Body of Somerton Man exhumed, South Australia",South Australia Police / Mirage News republication,2021,Mirage News / originating SAPOL release,https://www.miragenews.com/body-of-somerton-man-exhumed-south-australia-562286/,2026-07-08,Mirage News / SAPOL,Official police public release republication,,None,Generated - pending biber validation,Source year present; High for exhumation/FSSA intent; use original SAPOL URL if accessible
M11-SRC-0003,m11-m11-src-0003,M11,"Somerton Man identified as Melbourne electrical engineer, researcher says",Daniel Keane; Gabriella Marchant,2022,ABC News,https://www.abc.net.au/news/2022-07-26/somerton-man-identified-melbourne-born-engineer-researcher-says/101272182,2026-07-08,ABC,Researcher-identification report,,None,Generated - pending biber validation,Source year present; High for Abbott announcement; not official identity determination
M11-SRC-0004,m11-m11-src-0004,M11,"The DNA, the code and the conspiracies - your top questions answered",Bridget Judd,2022,ABC News,https://www.abc.net.au/news/2022-08-03/somerton-man-live-blog-top-questions-from-experts/101296556,2026-07-08,ABC,Expert Q&A / explanatory reporting,,None,Generated - pending biber validation,Source year present; Medium-high; expert statements but not formal lab report
M11-SRC-0005,m11-m11-src-0005,M11,The Somerton Man has been named. What do we know about Carl 'Charles' Webb?,Rebecca Opie,2022,ABC News,https://www.abc.net.au/news/2022-08-02/somerton-man-who-was-carl-charles-webb/101288890,2026-07-08,ABC,Biographical reporting,,None,Generated - pending biber validation,Source year present; Medium; direct civil records should be acquired separately
M11-SRC-0006,m11-m11-src-0006,M11,"Is Carl Webb really the Somerton Man and if so, was he a spy?",ABC News,2022,ABC News,https://www.abc.net.au/news/2022-09-02/is-carl-webb-really-the-somerton-man-and-was-he-a-spy/101375542,2026-07-08,ABC,Conflict / sceptical reporting,,None,Generated - pending biber validation,"Source year present; Medium; useful for conflict mapping, not proof of alternative theory"
M11-SRC-0007,m11-m11-src-0007,M11,"What do we know about Carl Webb? Researchers find ads, photographs",ABC News,2022,ABC News,https://www.abc.net.au/news/2022-09-08/somerton-man-found-in-nephews-clothe-researchers-believes/101405152,2026-07-08,ABC,Biographical / clothing-link reporting,,None,Generated - pending biber validation,Source year present; Medium; clothing connection remains inferential
M11-SRC-0008,m11-m11-src-0008,M11,Somerton Man Charles Webb's true identity revealed in family photographs and divorce papers,Ben Cheshire,2022,ABC Australian Story / ABC News,https://www.abc.net.au/news/2022-11-21/somerton-manfamily-photographs-revealed-/101643524,2026-07-08,ABC,Family photograph / divorce-document reporting,,None,Generated - pending biber validation,Source year present; Medium-high for family-photo existence; direct documents still needed
M11-SRC-0009,m11-m11-src-0009,M11,"Somerton Man, Australia's Oldest Cold Case, Solved with DNA from a Single Hair",Astrea Forensics,2022,Astrea Forensics,https://www.astreaforensics.com/new-blog/somerton-man-australias-oldest-cold-case-solved-with-dna-from-a-single-hair,2026-07-08,Astrea Forensics,Laboratory participant blog,,None,Generated - pending biber validation,Source year present; Medium-high for lab-process claim; lacks formal peer-reviewed/public validation
M11-SRC-0010,m11-m11-src-0010,M11,Somerton body inquest,Unknown reporter,1949,The News via Trove,https://trove.nla.gov.au/newspaper/article/130195091,2026-07-08,Trove / NLA,Contemporary newspaper report,SRC-0004,None,Generated - pending biber validation,Source year present; Medium-high for contemporary public record; lower than transcript
M11-SRC-0011,m11-m11-src-0011,M11,Somerton body for burial,Unknown reporter,1949,The Mail via Trove,https://trove.nla.gov.au/newspaper/article/55922068,2026-07-08,Trove / NLA,Contemporary newspaper report,,None,Generated - pending biber validation,Source year present; Medium-high for contemporary identification efforts
M11-SRC-0012,m11-m11-src-0012,M11,Torn book gives new hope in body case,Unknown reporter,1949,The Mail via Trove,https://trove.nla.gov.au/newspaper/article/56059849,2026-07-08,Trove / NLA,Contemporary newspaper report,,None,Generated - pending biber validation,Source year present; Medium-high for contemporary Rubaiyat lead; needs police-file confirmation
M11-SRC-0013,m11-m11-src-0013,M11,EX-OFFICER FOUND - AND HIS RUBAIYAT,Unknown reporter,1949,The Advertiser via Trove,https://trove.nla.gov.au/newspaper/article/36678225,2026-07-08,Trove / NLA,Contemporary newspaper report,,None,Generated - pending biber validation,Source year present; Medium-high for Boxall clue public reporting
M11-SRC-0014,m11-m11-src-0014,M11,Advertising - divorce notice to Carl Webb,Dorothy Jean Webb / solicitor notice,1951,The Age via Trove,https://trove.nla.gov.au/newspaper/article/205334969,2026-07-08,Trove / NLA,Legal notice / newspaper advertisement,,None,Generated - pending biber validation,Source year present; High for existence of public divorce notice; not proof of Somerton identity alone
M11-SRC-0015,m11-m11-src-0015,M11,'But what poison?' Mystery of the Somerton Man,State Records of South Australia,2015,State Records SA,https://archives.sa.gov.au/finding-information/discover-our-collection/stories-from-the-archive/but-what-poison-mystery-of-the-somerton-man,2026-07-08,State Records SA,Official archival guide,SRC-0003,None,Generated - pending biber validation,Source year present; High for repository holdings; medium for narrative summary
M11-SRC-0016,m11-m11-src-0016,M11,The Enduring Mystery of the Somerton Man,Mike Dash; updated by Meilan Solly,2025,Smithsonian Magazine,https://www.smithsonianmag.com/history/the-enduring-mystery-somerton-man-one-of-australias-most-puzzling-cold-cases-50795611/,2026-07-08,Smithsonian,High-quality longform reporting,SRC-0012,None,Generated - pending biber validation,"Source year present; Medium; useful synthesis, not primary proof"
DOC-0001,doc-doc-0001,DOC,1949 inquest into the death of a body located at Somerton on 1.12.48,City Coroner Thomas Erskine Cleland and witnesses,1949,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/inquest1949ocr.pdf,2026-07-07,State Records SA GRG 1/27 File 71/1949 via Abbott archive; GRG 1/27 File 71/1949,Coronial inquest file / OCR scan,,None,Generated - pending biber validation,Source year present; Later Reproduction
DOC-0002,doc-doc-0002,DOC,1958 inquest / later coronial file concerning the unknown Somerton man,Coroner/State Records custodian unknown,1958,Derek Abbott primary-source archive; probable source/custodian varies by record,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/inquest1958.pdf,2026-07-07,State Records SA GRG 1/27 File 53/1958 via Abbott archive; GRG 1/27 File 53/1958,Coronial inquest file / scan,,None,Generated - pending biber validation,Source year present; Later Reproduction
