Paragraph ID,Chapter Location,Paragraph Scope,Supporting Repository Assets,Support Type,Confidence,Notes
CH11-P001,Lines 4-4,Classification and scope,"research/intelligence/intelligence_requirements.csv; research/database/intelligence_gap_register.csv",Scope control,High,"Documents gaps and does not resolve them."
CH11-P002,Lines 8-10,Role of uncertainty and gap registers,"research/verification/verification_matrix.csv; research/database/decision_log.csv",Method summary,High,"Reflects project rules distinguishing verified, unsupported, and unknown material."
CH11-P003,Lines 14-16,Identity official-status gap,"research/intelligence/intelligence_requirements.csv IR-001; research/database/intelligence_gap_register.csv IG-002; research/osint/intelligence_gaps_mission11.csv M11-IG-0001; decision_log.csv DEC-0009",Gap summary,High,"Separates researcher/lab attribution from official status."
CH11-P004,Lines 20-22,Cause-of-death limitations,"research/forensic_medical/medical_uncertainties.csv MU-0001 through MU-0010; research/intelligence/intelligence_requirements.csv IR-002",Gap summary,High,"No attempt to determine cause."
CH11-P005,Lines 26-28,Timeline gaps and removed claims,"research/chronology/chronology_uncertainties.csv CU-0001 through CU-0032; research/verification/verification_matrix.csv",Gap summary,High,"Preserves unsupported chronology exclusions."
CH11-P006,Lines 32-34,Physical evidence and custody gaps,"research/physical_evidence/physical_evidence_uncertainties.csv; research/database/intelligence_gap_register.csv IG-003 through IG-006; IG-010",Gap summary,High,"Separates object existence from custody and interpretation."
CH11-P007,Lines 38-40,Intelligence questions and case-linkage limit,"research/intelligence/intelligence_requirements.csv IR-007; research/database/intelligence_gap_register.csv IG-012; research/intelligence/source_reliability_matrix.csv",Gap summary,High,"Historical context not treated as case proof."
CH11-P008,Lines 44-44,Research priorities overview,"research/intelligence/intelligence_requirements.csv",Priority synthesis,High,"Priorities mirror IR register."
CH11-P009,Lines 46-69,Complete intelligence requirements table,"research/intelligence/intelligence_requirements.csv",Register extraction,High,"All IR-001 through IR-007 included."
CH11-P010,Lines 71-99,Outstanding questions table,"research/database/intelligence_gap_register.csv",Register extraction,High,"All IG-001 through IG-012 included."
CH11-P011,Lines 103-105,Future opportunities,"research/osint/intelligence_gaps_mission11.csv; research/intelligence/source_reliability_matrix.csv; research/database/decision_log.csv",Evidence-based future-source summary,Moderate to High,"No assumption that future material exists."
CH11-P012,Lines 107-132,Evidence gaps matrix,"research/intelligence/intelligence_requirements.csv; research/database/intelligence_gap_register.csv; research/forensic_medical/medical_uncertainties.csv; research/physical_evidence/physical_evidence_uncertainties.csv; research/osint/intelligence_gaps_mission11.csv",Matrix synthesis,High,"Groups gaps by domain with representative IDs."
CH11-P013,Lines 134-153,Future research priorities table,"research/intelligence/intelligence_requirements.csv; research/database/intelligence_gap_register.csv; research/physical_evidence/physical_evidence_uncertainties.csv; research/osint/intelligence_gaps_mission11.csv; research/intelligence/source_reliability_matrix.csv",Priority matrix,High,"Recommendations remain source-acquisition actions."
CH11-P014,Lines 155-174,Confidence limitations table,"research/intelligence/source_reliability_matrix.csv",Register extraction,High,"Maps source class to unresolved-question effect."
CH11-P015,Lines 178-182,Closing assessment of what may or may not be knowable,"research/intelligence/intelligence_requirements.csv; research/database/intelligence_gap_register.csv; research/physical_evidence/physical_evidence_uncertainties.csv; research/forensic_medical/medical_uncertainties.csv",Closing synthesis,Moderate to High,"Documents limits without resolving questions."
