physical_evidence_id,existing_evidence_id,item_class,description,photographs,measurements,condition,discovery,recovery,collector,chain_of_custody,custody_confidence,examinations,laboratory_examinations,testimony_mentions,report_mentions,current_location,current_custodian,outstanding_questions,confidence,notes
PE-0001,EV-0005,body / scene,Body of unknown male found at Somerton Beach near seawall/opposite Somerton Crippled Children's Home.,Body photographs C.5-C.8 referenced; original set not fully preserved in repo.,Leane later described height as 5 ft 11 in; full autopsy measurements not acquired.,"Cold, damp and stiff by Moss; later embalmed before Lawson cast.",Found about 7 a.m. on 1948-12-01; evening observations at 7 p.m. and about 7:30 p.m. on 1948-11-30.,Taken by Moss in police ambulance to Royal Adelaide Hospital then City Morgue.,John Moss / police; medical examination by Bennett; postmortem by Dwyer.,Beach to hospital to City Morgue is documented; later remains/burial/exhumation custody not fully reconstructed here.,Fragmentary,Scene inspection by Moss; Bennett examination; Dwyer postmortem; Lawson cast; Durham photographs/fingerprints.,Cowan biological specimen analysis; no body-wide modern report acquired.,"DOC-0001 pp.5,15-21,27,35,63,67,93.",DOC-0003 death certificate; DOC-0001 coroner remarks.,Burial/exhumation status outside acquired primary detail.,Unknown / official authorities pending current records.,"Exact body recovery log, burial/remains chain, and current official records.",High for discovery and initial movement; Moderate for full preservation history.,"Body is catalogued as evidence context, not a cause-of-death conclusion."
PE-0002,EV-0014,scene object,Partly smoked cigarette located between/right cheek and right lapel or on right collar area.,No preserved photograph separately catalogued.,Not recorded.,Partly smoked; no cheek blistering or coat scorching recorded.,Observed at body location morning of 1948-12-01; evening witness said no cigarette in raised hand.,Collection status not established; Moss observed it and compared/considered it.,John Moss observed; unknown if collected.,Observation documented; physical recovery and later custody unknown.,Fragmentary,Moss observation; possible comparison with cigarette packet not performed by Moss.,No laboratory/fingerprint/saliva examination documented.,"DOC-0001 pp.5,17,19,21.",Coroner remarks p.5.,Unknown.,Unknown.,Was it collected; was brand or saliva/fingerprint examined; relation to body cigarette packet?,Moderate,Do not treat as proven administration method.
PE-0003,EV-0005,clothing ensemble,"Clothing worn by deceased: coat, shoes, shirt, pullover, jockey underpants, singlet, socks, trousers and one tie.",Clothing exhibit C.15 referenced; no full image set preserved locally.,Garment measurements not acquired; Cleland compared fit/lengths.,Clothing fairly good quality; shoes very clean/practically new; tags missing or removed from some items.,On body at Somerton Beach.,Body/clothing search by Moss; later produced by Leane as clothing found on body.,John Moss; Raymond Leane; later Cleland examined.,Body search to inquest exhibit documented; current custody unknown.,Fragmentary,Moss inventory; Leane production; Brown/Cleland comparison; label/tag observations.,Thread/fibre microscopy by Cleland; no modern lab record.,"DOC-0001 pp.5,21,57,59,61,71,77,79,81.",Coroner remarks p.5; exhibit index EXH-0011.,Unknown.,Unknown; police custody ordered in 1949.,"Exact clothing list, garment measurements, present status, destruction/loss record.",High for existence; Moderate for item-level details.,Keep clothing as a set plus subitems below.
PE-0004,EV-0004,clothing subitem,"Tie worn by deceased and two ties in suitcase, one bearing the name T. Keane.",No item photograph preserved locally.,Not recorded.,One body tie; suitcase tie with name; condition not fully recorded.,Body tie on deceased; suitcase ties recovered from luggage.,Body clothing search / suitcase possession by Leane.,Moss for body clothing; Leane for suitcase.,Documented in testimony; current custody unknown.,Fragmentary,Inventory and name/tag relevance.,None documented.,DOC-0001 p.57.,Possession inventory POS-0001/POS-0010.,Unknown.,Unknown.,Which tie carried which name/mark; did any survive?,Moderate,Existing EV-0004 was broad; Mission 9 splits body and suitcase ties conceptually.
PE-0005,EV-0005,clothing subitem,Shoes worn by deceased.,No item photograph preserved locally.,Size not recorded; Cleland noted fit against Cowan; Lawson inferred foot form with caution.,Leane: practically new and very clean; Cleland: remarkably clean/polished with little sand around toe marks.,On body.,Body recovery and clothing search.,Moss / Leane; examined by Cleland and Lawson.,Documented through testimony; current custody unknown.,Fragmentary,Condition/fit observations; foot/calf observations.,None documented.,"DOC-0001 pp.27,57,79,81.",Victimology/forensic registers.,Unknown.,Unknown.,"Exact make, size, sole wear, photographs, survival status.",High for existence and condition observations.,Do not infer gait/occupation beyond witness wording.
PE-0006,EV-0005,clothing subitem,Socks worn by deceased.,No item photograph preserved locally.,Not recorded.,A barley-grass seed reportedly stuck in a sock; otherwise condition not fully recorded.,On body.,Body recovery.,Moss / Leane; examined by Cleland.,Documented in clothing set; current custody unknown.,Fragmentary,Cleland noted vegetation; did not place strong weight on it.,None documented.,"DOC-0001 pp.57,79,81.",Possession inventory POS-0001.,Unknown.,Unknown.,Exact sock type/condition; whether vegetation retained.,Moderate,Vegetation context is weak due widespread barley grass.
PE-0007,N/A,clothing alteration / labels,Removed/missing tags or labels from clothing and suitcase articles.,No photographs preserved locally.,Not applicable.,Tags missing; Leane said some had been torn out; Cleland did not find threads proving recent removal.,Observed on body clothing and suitcase items.,Observed during clothing/suitcase examination.,Leane; Cleland.,Observation only; removed tags themselves not recovered.,Fragmentary,Leane and Cleland examination; coroner remarks.,No laboratory examination documented.,"DOC-0001 pp.5,7,59,61,81.",Verification matrix claims on label removal.,Removed labels not located.,None.,"Which labels were removed, when, by whom; whether any threads/remnants survive.",Moderate,"Deliberateness remains an analytical question, not catalogued as fact."
PE-0008,EV-0008,ticket,Single uncancelled second-class Adelaide-to-Henley Beach railway ticket.,No item photograph preserved locally.,Ticket number/serial not fully transcribed in Mission 9.,Uncancelled per coroner remarks; physical condition unknown.,Found in clothing search on body.,Recovered during Moss search; produced in inquest for Townsend.,John Moss; Douglas Townsend identified issue context.,Body search to inquest testimony documented; current physical custody unknown.,Fragmentary,Ticket clerk evidence; issue window established.,None documented.,"DOC-0001 pp.5,21,75.",Chronology CHR-0002/0003.,Unknown.,Unknown.,Exact ticket serial; current status; purchaser unknown.,High,"Supports issued ticket, not purchaser identity."
PE-0009,EV-0009,ticket,"Municipal Tramways Trust bus ticket, 7d ticket tied to Holdernesse route/journal.",No item photograph preserved locally.,Hall: ticket serial/punch evidence; OCR gives serial-like CN 88708 but needs visual confirmation.,Physical condition unknown.,Found in clothing search on body.,Recovered during Moss search; examined by Hall; Holdernesse had no recollection.,John Moss; Edmund Leslie Hall; Arthur Holdernesse.,Body search to inquest testimony documented; current physical custody unknown.,Fragmentary,Ticket punch/serial/running journal examination.,None documented.,"DOC-0001 pp.5,21,23,25.",Chronology CHR-0004.,Unknown.,Unknown.,Exact serial; holder identity; boarding/alighting location.,High,"Supports route/ticket issue, not that deceased personally rode."
PE-0010,EV-0012,cigarette packet,Army Club cigarette packet containing Kensitas cigarettes.,No item photograph preserved locally.,Not recorded.,Packet brand and contents brand differed; exact count not recorded in clean primary text.,Found on body per Leane/Moss inventory.,Body search.,John Moss; Raymond Leane.,Documented as body property; current custody unknown.,Fragmentary,Inventory only; Moss did not compare packet with partly smoked cigarette.,No documented print/saliva/brand lab exam.,"DOC-0001 pp.21,57.",Evidence register EV-0012.,Unknown.,Unknown.,Was mismatch investigated; exact count; survival status.,Moderate,Brand mismatch is factual only if page visually confirmed.
