decision_id,date,decision,explanation,related_sources,status
DEC-0001,"2026-07-07","Treat the supplied dossier PDF as an internal prior-assessment source only.","The PDF contains analytical conclusions and claims that require independent verification; it must not be used as primary evidence.","SRC-0006","Active"
DEC-0002,"2026-07-07","Create a dedicated `research/database/` layer rather than overwrite existing initial registers.","The repository already contains initial registers; Mission 2 requires broader permanent IDs and multiple register types. Keeping the database separate avoids destructive churn and preserves earlier work.","SRC-0024","Active"
DEC-0003,"2026-07-07","Use permanent prefixes `SRC-`, `EV-`, `PER-`, `LOC-`, `EVENT-`, `IG-`, `HYP-`, `FIG-`, `Q-`, and `DEC-`.","Stable identifiers allow future chapters and claim records to cite evidence without renumbering.","SRC-0024","Active"
DEC-0004,"2026-07-07","Distinguish `Verified`, `Pending verification`, `Unverified`, `Conflicting`, and `Unknown` in registers.","Mission 2 requires no invented information and clear separation of evidence from leads.","SRC-0024","Active"
DEC-0005,"2026-07-07","Do not evaluate hypotheses in Mission 2.","The mission explicitly requires hypothesis creation without assessment, supporting evidence, or conclusions.","SRC-0024","Active"
DEC-0006,"2026-07-07","Catalogue context sources separately from direct case evidence.","Government intelligence and Woomera/ASIO sources may support later historical context but do not establish a direct Somerton link.","SRC-0015; SRC-0016; SRC-0017","Active"
DEC-0007,"2026-07-08","Do not begin manuscript drafting until witness reliability, historical context, and structured analytic assessment are complete.","After Missions 1-9, the project has a strong investigative database but still lacks the analytical layers required for an intelligence-style assessment. The LaTeX dossier should be assembled from those completed registers, not written ahead of them.","research/mission_roadmap.md","Active"
DEC-0008,"2026-07-08","Treat the project as a versioned research archive rather than a static book.","Future releases should include the PDF plus source registers, evidence databases, verification matrices, chronology, forensic registers, and clear release notes so the work remains reproducible and corrigible.","documentation/release_strategy.md","Active"
DEC-0009,"2026-07-08","Separate researcher/lab Webb attribution from official coroner/SAPOL identification.","Mission 11 OSINT found strong public researcher/lab evidence for the Carl Webb attribution, but current ABC reporting still indicates the official coroner/SAPOL determination is pending. Future claims must preserve that distinction.","M11-SRC-0001; M11-SRC-0003; M11-SRC-0004; M11-SRC-0009","Active"
DEC-0010,"2026-07-08","Draft the dossier in evidence-dependency order rather than table-of-contents order.","Mission 12 found that the executive assessment, intelligence hypotheses, and alternative-model chapters depend on completed factual chapters. Mission 13 should draft methodology, chronology, physical evidence, medical evidence, identity, witnesses, Rubaiyat/cipher, context, hypotheses, alternatives, findings, then executive assessment.","research/manuscript_blueprint/manuscript_writing_order.md","Active"
DEC-0011,"2026-07-08","Use the Mission 13 authoring framework as the mandatory control for all chapter drafting.","Mission 13 fixes the manuscript voice, editorial rules, LaTeX conventions, source hierarchy, uncertainty language, chapter templates, quality checklists, consistency rules, and completion criteria. Future chapter missions must follow this framework and must not invent style or evidentiary standards ad hoc.","documentation/authoring/","Active"
